PC_ID,Loose_Price,CIB_Price,New_Price,Image_URL
2162,10.04,19.97,40.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97tUFhF8LPEEEzFeAONnpPjPRNZAJ2KBU7wEAc1nnM2Cn8xu-g8ENsQTelp5qA6KRm_E3A_bf8CiTYNqM0wrkuwJOHxS3SpnDS-H3nU7sRZH4ktNvRStoneVlKNVCyfMP0XgUy7DV5FqX2fopmUgk_U0_BitQ/60.jpg
2418,17.99,49.92,86.75,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95-piiAzuGMKr7EaOpHRIt4ka6BBcp781IZ76R87ELZjhrB0j-E5B0fOxvkv-4Q5HQESv-_pU_TXz0fsMf3GlWJv4I9X5iTKV1fLmWbAWHeq8ak7kKAn36Yo-2vVoWZ9lLmHU2IUmhaN3B1UOiR-3C4z_AsRg/60.jpg
16139,8.45,9.99,25.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94Wh6U2Ta5_gRmY-gqxP5WZB9ZD3IgiRXinkpKST-5OQDlK_JMqYywePOjf8pbF_AwUqi6dfAAA-VcOfG7lBYcuooaBQ61RGQ1bCMndO2DD0rarPPCZhwzZwXvDt0kpo5EEYeg2wRZBxM9l6RUGw-laenWolA/60.jpg
11066,10.29,26.00,39.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95h7SRxCw_S_SSc1enAtXGT4c3AgLH15fN28gwrndv2VSZyuB7fLUWATMeSsL8fgHqvebTQGWdAGMBQ1TaLFmz54ogXiplv6iLcMBbpwSXDx-XjPWR6thllPN50UNH0cFo1jRdTp8XHikddz8z8ij9iKeTssA/60.jpg
11338,5.99,12.00,20.50,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94IPI8qR0deSOJR0-xdqCX0zgGgCdxbNdEoGMnwTREAH6J0BmyGJBBV0tYvQeOj3VXNJoeaJ6Kr1gyJDNK94UT8KkNFvAhWQorx4RinrzfP3UKZCPfqNCGw4Wte3OZuBgJkcKNO7zzi8cw5LbvmPUFXnN85jA/60.jpg
11336,2.95,6.89,10.32,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94j66x8glAQGKE-vYIN58EmtBlb7IVbBHy8UU36-utCy_gOksBGEjR9XIq_qKZUaQjUNunofsQ9AC3WmxyqqfmPqTdeDceZpf8gH_UQDhcjSROLIHsj4meJvFXOgiEuufZp7mXj52erU0QZ86FDp4xC-nLhtA/60.jpg
1964,3.97,6.91,11.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94-dwcMkXaCWZ2WFF4w_fkwADhaiCfkvmFZta6tXFXKcRtXSOt4Z0d6Hko4lNzCPDBg8HdGm-wPRMoHn6JCKXOSMXHfsvxvjm5YaRKa_goA4I534NSEGFMPXnrHvWVRHxkljq_vxbygUANtAzGogo1U1MEkCA/60.jpg
1965,32.51,166.25,168.75,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96ECQnTZPyZKmPGRQMQwKIn_FTMnskWN_WPH9W1UbhXqm0icCTCGUhdAzx4fSb9RMX0Yuq22crdaAAd__Pcmr07ugEsUFfHliLXm7rn8K1BXlxtzyboHcUR4iNLZxjXMFnQe_dUZu4fnzgu5GSOx4l7m67G3w/60.jpg
10954,9.84,24.95,31.54,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97zpGje5GXzQ1RNPrsj3asfW3t9WieC0zRG3wPTHFkvj8OZ3HS1SCyXTRX0MVTawRgLUWg1w1lBkWf-2TrINO5_FaGd7aaVatEQ7ORTugCuSotGnCnkh9K5jwQSsT72UDwz9PKSNojLPpLeWFbnM3lTdamONw/60.jpg
1967,19.99,42.99,52.49,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97gUqcmxYJzsoiZTFxKqPscaKwUgSykLHS8cEjPZ4RDdMLd66Zew0t4FKSCOtvOElR833fn06ZKoh3X8FT_IwK6Y5AaqPa2ku3nqXdbyuUa9AISnE06_YdoyZpSG-0gVv31WBBMK4X8IpSL9V5LSX3N3oI1iA/60.jpg
