Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL,Console_ID,Publisher_ID,Developer_ID,Genre_ID
gameboy-advance,007 Everything or Nothing,2003-11-01,Teen,Electronic Arts,Unkown,Action & Adventure,014633147179,2162,Unkown,https://www.pricecharting.com/game/gameboy-advance/007-everything-or-nothing,2,100,586,2
gameboy-advance,007 Nightfire,2003-03-01,Teen,Electronic Arts,Unkown,Action & Adventure,014633146226,2418,Unkown,https://www.pricecharting.com/game/gameboy-advance/007-nightfire,2,100,586,2
gameboy-advance,2 Games in 1 Double Pack: SpongeBob,2006-09-08,Everyone,THQ,Unkown,Compilation,785138321776,16139,Unkown,https://www.pricecharting.com/game/gameboy-advance/2-games-in-1-double-pack-spongebob,2,327,586,9
gameboy-advance,2006 FIFA World Cup,2006-04-24,Everyone,Electronic Arts,EA Canada,Soccer,014633152029,11066,"2006 FIFA World Cup features 12 official stadiums used at 2006 FIFA World Cup Germany and stadiums from each qualifying region. Gamers can play as their favorite team from qualification right through to a virtual reproduction of the tournament in Germany. With enhanced player animations, EA SPORTS has emulated close to 100 of the world's superstars, capturing their playing styles and individual likenesses. In addition to enabling gamers to participate in the 2006 FIFA World Cup Germany by taking control of one of 127 national teams, the game features new compelling modes of play, including the groundbreaking Global Challenge that tests even the most hardcore soccer fan by recreating classic moments in FIFA World Cup history. Furthermore, the game supports up to eight-way multiplayer matches and features a plethora of in-game unlockable content such as legendary players and exclusive apparel.",https://www.pricecharting.com/game/gameboy-advance/2006-fifa-world-cup,2,100,155,31
gameboy-advance,3-in-1 Rec Room Challenge,2005-12-12,Everyone,Majesco,Unkown,Sports,096427014614,11338,Unkown,https://www.pricecharting.com/game/gameboy-advance/3-in-1-rec-room-challenge,2,194,586,32
gameboy-advance,3-in-1 Sports Pack,2005-12-01,Everyone,Majesco,Unkown,Sports,096427014522,11336,Unkown,https://www.pricecharting.com/game/gameboy-advance/3-in-1-sports-pack,2,194,586,32
gameboy-advance,3D Pool,2004-11-01,Everyone,Ignition,Unkown,Sports,893384000021,1964,Unkown,https://www.pricecharting.com/game/gameboy-advance/3d-pool,2,155,586,32
gameboy-advance,A Sound of Thunder,2005-02-01,Teen,BAM,Unkown,Action & Adventure,682384320181,1965,Unkown,https://www.pricecharting.com/game/gameboy-advance/a-sound-of-thunder,2,40,586,2
gameboy-advance,Ace Combat Advance,2005-02-23,Everyone,Namco,Unkown,Action & Adventure,722674500098,10954,Unkown,https://www.pricecharting.com/game/gameboy-advance/ace-combat-advance,2,232,586,2
gameboy-advance,Activision Anthology,2003-12-09,Everyone,Aspyr,Unkown,Arcade,618870401201,1967,Unkown,https://www.pricecharting.com/game/gameboy-advance/activision-anthology,2,35,586,3
gameboy-advance,Advance Guardian Heroes,2004-09-14,Everyone,Ubisoft,Unkown,Action & Adventure,008888142096,1968,Unkown,https://www.pricecharting.com/game/gameboy-advance/advance-guardian-heroes,2,362,586,2
gameboy-advance,Advance Wars,2001-09-09,Everyone,Nintendo,Intelligent Systems,Strategy,045496731458,1969,"Advance Wars is a turn-based strategy video game developed for the Game Boy Advance by Intelligent Systems and published by Nintendo. It was released in North America on September 10, 2001. The game's release in Japan and Europe was delayed, supposedly due to the September 11 attacks in the United States. Although the game was released in Europe in January 2002, neither GBA title was released in Japan until the Game Boy Wars Advance 1+2 compilation in 2004. Advance Wars has been released for the Wii U Virtual Console simultaneously in Europe and North America on April 3, 2014.",https://www.pricecharting.com/game/gameboy-advance/advance-wars,2,241,258,33
gameboy-advance,Advance Wars 2,2003-06-01,Everyone,Nintendo,Intelligent Systems,Strategy,045496733124,1970,Advance Wars 2: Black Hole Rising is a turn-based strategy video game for the Game Boy Advance. It was developed by Intelligent Systems and published by Nintendo in 2003. It is the second game in the Advance Wars sub-series of Nintendo Wars. It is preceded by Advance Wars and followed by Advance Wars: Dual Strike.,https://www.pricecharting.com/game/gameboy-advance/advance-wars-2,2,241,258,33
gameboy-advance,Aero the Acro-Bat,2002-05-14,Everyone,Metro 3d,Unkown,Action & Adventure,650001771142,10937,Unkown,https://www.pricecharting.com/game/gameboy-advance/aero-the-acro-bat,2,209,586,2
gameboy-advance,Agassi Tennis Generation,2003-08-01,Everyone,Unkown,Unkown,Sports,625904359902,1971,Unkown,https://www.pricecharting.com/game/gameboy-advance/agassi-tennis-generation,2,368,586,32
gameboy-advance,Aggravation / Sorry /  Scrabble Jr,2005-08-01,Everyone,DSI Games,Gravity-I,Party,802068100469,1972,"Sorry!
Sorry!, the classic game of slide and pursuit, has been supercharged for Game Boy Advance! Be the first player to move all four of your pawns around the game board from Start to Home.
Aggravation
Be the first player to move all four of your colored marbles around the game board from Base to Home. You don't have to 'Aggravate' the other players to win, but it sure helps! Aggravation can be played by 1 to 6 players.
Scrabble Junior
Get ready for your very own Game Boy Advance version of the famous crossword game! Cover the game board letters with matching letter tiles, and score points by completing words.",https://www.pricecharting.com/game/gameboy-advance/aggravation-sorry-scrabble-jr,2,83,200,23
gameboy-advance,Aggressive Inline,2002-08-27,Everyone,Acclaim,Unkown,Extreme Sports,021481522935,1973,Unkown,https://www.pricecharting.com/game/gameboy-advance/aggressive-inline,2,14,586,12
gameboy-advance,Air Hockey E-Reader,2004-01-01,Everyone,Unkown,Unkown,Other,045496714994,42392,Unkown,https://www.pricecharting.com/game/gameboy-advance/air-hockey-e-reader,2,368,586,22
gameboy-advance,Airforce Delta Storm,2002-09-16,Everyone,Konami,Unkown,Simulation,083717500377,11289,Unkown,https://www.pricecharting.com/game/gameboy-advance/airforce-delta-storm,2,178,586,30
gameboy-advance,Aladdin,2004-09-28,Everyone,Capcom,Unkown,Action & Adventure,013388280186,1974,Unkown,https://www.pricecharting.com/game/gameboy-advance/aladdin,2,68,586,2
gameboy-advance,Alex Rider Stormbreaker,2006-10-02,Everyone 10+,THQ,Unkown,Action & Adventure,785138322292,11651,Unkown,https://www.pricecharting.com/game/gameboy-advance/alex-rider-stormbreaker,2,327,586,2
gameboy-advance,Alienators Evolution Continues,2001-11-13,Everyone,Activision,Unkown,Action & Adventure,047875802858,1975,Unkown,https://www.pricecharting.com/game/gameboy-advance/alienators-evolution-continues,2,19,586,2
gameboy-advance,All-Star Baseball 2003,2002-05-31,Everyone,Jack of All Games,Unkown,Baseball,021481522812,1977,Unkown,https://www.pricecharting.com/game/gameboy-advance/all-star-baseball-2003,2,169,586,4
gameboy-advance,All-Star Baseball 2004,2003-02-01,Everyone,Acclaim,Unkown,Baseball,021481523123,1978,Unkown,https://www.pricecharting.com/game/gameboy-advance/all-star-baseball-2004,2,14,586,4
gameboy-advance,Altered Beast Guardian of the Realms,2002-11-23,Teen,Sega,Unkown,Action & Adventure,785138321189,1979,Unkown,https://www.pricecharting.com/game/gameboy-advance/altered-beast-guardian-of-the-realms,2,287,586,2
gameboy-advance,Amazing Virtual Sea-Monkeys,NULL,Unkown,Swing! Entertainment,Unkown,Action & Adventure,815315000344,18709,Unkown,https://www.pricecharting.com/game/gameboy-advance/amazing-virtual-sea-monkeys,2,324,586,2
gameboy-advance,American Bass Challenge,2001-12-05,Everyone,Ubisoft,Unkown,Sports,008888140122,1980,Unkown,https://www.pricecharting.com/game/gameboy-advance/american-bass-challenge,2,362,586,32
gameboy-advance,American Dragon Jake Long Rise of the Huntsclan,2006-10-12,Everyone 10+,Disney,Unkown,Action & Adventure,712725002558,10975,Unkown,https://www.pricecharting.com/game/gameboy-advance/american-dragon-jake-long-rise-of-the-huntsclan,2,91,586,2
gameboy-advance,American Idol,2003-11-18,Everyone,Konami,Möbius Entertainment,Music,767649400683,1981,Unkown,https://www.pricecharting.com/game/gameboy-advance/american-idol,2,178,338,21
gameboy-advance,An American Tail Fievel's Gold Rush,2003-05-02,Everyone,SVG Distribution,Unkown,Action & Adventure,815315000146,10398,Unkown,https://www.pricecharting.com/game/gameboy-advance/an-american-tail-fievel%27s-gold-rush,2,280,586,2
gameboy-advance,Animal Crossing Series 1 E-Reader,2004-01-01,Everyone,Nintendo,Unkown,Other,045496732165,42393,Unkown,https://www.pricecharting.com/game/gameboy-advance/animal-crossing-series-1-e-reader,2,241,586,22
gameboy-advance,Animal Crossing Series 2 E-Reader,2002-01-01,Unkown,Nintendo,Unkown,Other,045496732288,35847,Unkown,https://www.pricecharting.com/game/gameboy-advance/animal-crossing-series-2-e-reader,2,241,586,22
gameboy-advance,Animal Crossing Series 3 E-Reader,2002-01-01,Unkown,Nintendo,Unkown,Other,045496732394,35846,Unkown,https://www.pricecharting.com/game/gameboy-advance/animal-crossing-series-3-e-reader,2,241,586,22
gameboy-advance,Animal Crossing Series 4 E-Reader,2002-01-01,Unkown,Nintendo,Unkown,Other,045496733186,35848,Unkown,https://www.pricecharting.com/game/gameboy-advance/animal-crossing-series-4-e-reader,2,241,586,22
gameboy-advance,Animal Snap,2002-11-01,Everyone,Unkown,Unkown,Action & Adventure,893384000175,11823,Unkown,https://www.pricecharting.com/game/gameboy-advance/animal-snap,2,368,586,2
gameboy-advance,Ant Bully,2006-07-24,Everyone,Midway,Unkown,Action & Adventure,031719191567,7265,Unkown,https://www.pricecharting.com/game/gameboy-advance/ant-bully,2,215,586,2
gameboy-advance,Antz Extreme Racing,2002-11-20,Everyone,Jack of All Games,Unkown,Racing,020626715898,1982,Unkown,https://www.pricecharting.com/game/gameboy-advance/antz-extreme-racing,2,169,586,28
gameboy-advance,Arctic Tale,2007-10-10,Everyone,DSI Games,Atomic Planet Entertainment,Action & Adventure,802068101282,11739,Unkown,https://www.pricecharting.com/game/gameboy-advance/arctic-tale,2,83,65,2
gameboy-advance,Army Men Advance,2001-06-10,Everyone,3DO,Unkown,Action & Adventure,790561523116,1983,Unkown,https://www.pricecharting.com/game/gameboy-advance/army-men-advance,2,3,586,2
gameboy-advance,Army Men Operation Green,2001-12-02,Everyone,Unkown,Unkown,Action & Adventure,790561524717,11700,Unkown,https://www.pricecharting.com/game/gameboy-advance/army-men-operation-green,2,368,586,2
gameboy-advance,Army Men Turf Wars,2002-09-29,Teen,3DO,Unkown,Action & Adventure,790561509714,11698,Unkown,https://www.pricecharting.com/game/gameboy-advance/army-men-turf-wars,2,3,586,2
