Price_Date,PC_ID,Title,Loose_Price,CIB_Price,New_Price,Image_URL
2024-05-19,19745,A Boy and His Blob,9.33,13.28,24.99,https://commondatastorage.googleapis.com/images.pricecharting.com/8097647976120381639f4a9a69dda27fc932aba915f15e590e4aac8935394950/60.jpg
2024-05-19,21626,Arc Rise Fantasia,59.99,69.97,99.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv944_iiDUm9z5YxBDWFXaWavvuDXiaHHeRg-sDOcTn-R6YOm5RBXhjEb1KETThdX1p3Oy4zsPu8r05QnGD7YFPIc0BD4QsvgdhnoBn-IYbqOS2bbIJoQNe6uI9KwdZ76W-_xN-yKlDKQBspQBZ96agSw4_L9dg/60.jpg
2024-05-19,36213,Barbie and Her Sisters: Puppy Rescue,12.72,16.54,27.46,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96Rif05ti9zGzFpCI8OdU15MU0MTwyj88o9RsY4riJvhNdMaeEkDx4gTr1AoWQcGMyNeEcH6WXs8MNxslgljmZgOgvIw6dndRI2bFPFRgJ0oqyEIem3-JhuO0gEFIeuE2tPGYBWl9WWkzbZz-IF0Z-mkcyy_A/60.jpg
2024-05-19,16424,Baroque,18.49,26.93,53.98,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96JBEI-9oYYqh_QoVWPv0KFi45bFzyLZtz2RkUllLyVJrCNSmZVVT_p0NwOntnfYIcgto2_p1H1VrH4kI9LSqFwk0qoOoj-3B-cM2KSnfh_J6h3xNbNGYxmxwBz99edteUEVBiks6EdlbpnR8T99nQpDdmNHA/60.jpg
2024-05-19,10347,Battalion Wars 2,10.36,13.03,34.00,https://commondatastorage.googleapis.com/images.pricecharting.com/281e252bf073b770346f3a935cc699bb1aa832a1e95e754f48872c8922e4dc67/60.jpg
2024-05-19,8621,Bleach Shattered Blade,7.46,9.83,33.11,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96Scn_nqrtKs6SgiREzHSzXPhR6M6epe_WRd7xzhDIqU87TLFRD-4-li8GCnMDypai6qaacYLKy4h2tPH_m5jk8NqDaUBYEdSYM9RciNWF4ZVjY4VyW9jFptCmaJx-dYic2qPwnYkSXj-cEbt1cnlIa3U7CXA/60.jpg
2024-05-19,21051,Calling,47.49,54.71,67.50,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97x3s5qUvwJ64Xajbdc4sgcGdmQKZbMoeegahpEYZ-Xra8luTfor632r5L33ftvvbqd7_M38LFsBxa37Iu66F52GACac85x0xIXBRUb8hvlZw7sDA0UZMmu7700uRYIcKzKnS5fzCZ1wQvLp-lt7QhhZuu9Pg/60.jpg
2024-05-19,16019,Castlevania Judgment,14.44,18.00,28.24,https://commondatastorage.googleapis.com/images.pricecharting.com/20b088943ca01221eb266cecd6b0a8a235c57cf06cf97d61ac2b49f38c183d4a/60.jpg
2024-05-19,31886,Centipede: Infestation,9.88,12.82,13.84,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv9785kCNoixQgR-pmK3JIDbReG1CY5NRIYyUKH_z2i8-0fcE5rBPfoZvE_w9T47n6SguJgko2VCfrk-02oBNYd_QaRo4L5qN75nlG5BXWphZGWiIRN0_vTLVqwtkTKoZg8gi--SECpQNdSkI-AHVg1q7snoHqw/60.jpg
2024-05-19,31880,Champion Jockey: G1 Jockey & Gallop Racer,16.99,20.00,33.60,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97EA5QqtU_Grl7XpMsyrrE-zJQoNjcQJLT5BbiFSWOyp9UCb7EeplP2Y7Zzajjf9icNlIkIstJ3zBScLVlY_sXiZEciyqGvOpEgkL6mYqANnyvjypL6LhcPSCwnObST9bQBAxzzMTafBMxgXJSy5awDD8RylA/60.jpg
