Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PriceCharting_ID,Summary,URL
nintendo-ds,007 Blood Stone,2010-11-02,Teen,Activision,n-Space,Third Person Shooter,047875837270,30617,none,https://www.pricecharting.com/game/nintendo-ds/007-blood-stone
nintendo-ds,007 GoldenEye,2010-11-02,Teen,Activision,none,FPS,047875837171,30641,none,https://www.pricecharting.com/game/nintendo-ds/007-goldeneye
nintendo-ds,007 Quantum of Solace,2008-11-04,Teen,Activision,none,FPS,047875832756,15893,none,https://www.pricecharting.com/game/nintendo-ds/007-quantum-of-solace
nintendo-ds,1 vs 100,2008-07-03,Everyone,Zoo Games,none,Other,802068101558,13997,none,https://www.pricecharting.com/game/nintendo-ds/1-vs-100
nintendo-ds,100 All-Time Favorites,2009-10-27,Everyone,Ubisoft,none,Puzzle,008888165675,19886,none,https://www.pricecharting.com/game/nintendo-ds/100-all-time-favorites
nintendo-ds,100 Classic Books,2010-06-15,Not Applicable,Nintendo,none,Other,827307760211,21612,none,https://www.pricecharting.com/game/nintendo-ds/100-classic-books
nintendo-ds,100 Classic Books,2010-06-15,Not Applicable,Nintendo,none,Other,045496740962,21612,none,https://www.pricecharting.com/game/nintendo-ds/100-classic-books
nintendo-ds,1001 Touch Games,2011-10-18,Everyone,Maximum Games,none,Other,814290011390,32831,none,https://www.pricecharting.com/game/nintendo-ds/1001-touch-games
nintendo-ds,101-in-1 Explosive Megamix,2009-04-21,Everyone,Atlus,none,Puzzle,730865400300,18726,none,https://www.pricecharting.com/game/nintendo-ds/101-in-1-explosive-megamix
nintendo-ds,101-in-1 Sports Megamix,2010-09-14,Everyone 10+,Atlus,none,Sports,730865400362,30887,none,https://www.pricecharting.com/game/nintendo-ds/101-in-1-sports-megamix
nintendo-ds,18 Classic Card Games,2010-11-16,Teen,Destineer,none,Other,828068213398,30889,none,https://www.pricecharting.com/game/nintendo-ds/18-classic-card-games
nintendo-ds,50 Classic Games,2010-03-08,Everyone,Destineer,none,Puzzle,828068212810,21753,none,https://www.pricecharting.com/game/nintendo-ds/50-classic-games
nintendo-ds,50 Classic Games,2010-03-08,Everyone,Destineer,none,Puzzle,799007750710,21753,none,https://www.pricecharting.com/game/nintendo-ds/50-classic-games
nintendo-ds,50 More Classic Games,2011-05-12,Everyone,Destineer,none,Puzzle,828068213374,31567,none,https://www.pricecharting.com/game/nintendo-ds/50-more-classic-games
nintendo-ds,7 Wonders II,2010-12-08,Everyone,Mumbo Jumbo,none,Action & Adventure,811930106218,21715,none,https://www.pricecharting.com/game/nintendo-ds/7-wonders-ii
nintendo-ds,7 Wonders of the Ancient World,2007-09-17,Everyone,Mumbo Jumbo,none,Puzzle,811930103439,3978,none,https://www.pricecharting.com/game/nintendo-ds/7-wonders-of-the-ancient-world
nintendo-ds,7 Wonders Treasures of Seven,2011-01-01,Everyone,Mumbo Jumbo,none,Puzzle,811930107987,46439,none,https://www.pricecharting.com/game/nintendo-ds/7-wonders-treasures-of-seven
nintendo-ds,"999: 9 Hours, 9 Persons, 9 Doors",2010-11-16,Mature,Aksys,Chunsoft,Action & Adventure,893610001402,30727,none,https://www.pricecharting.com/game/nintendo-ds/999-9-hours-9-persons-9-doors
nintendo-ds,A Christmas Carol,2009-11-03,Everyone,Disney,none,Action & Adventure,712725017149,19938,none,https://www.pricecharting.com/game/nintendo-ds/a-christmas-carol
nintendo-ds,A Witch's Tale,2009-10-06,Everyone 10+,Nippon Ichi Software,Hit Maker,RPG,857823001376,19723,none,https://www.pricecharting.com/game/nintendo-ds/a-witch%27s-tale
nintendo-ds,Ace Attorney Apollo Justice,2008-02-19,Teen,Capcom,none,Visual Novel,013388320127,11906,none,https://www.pricecharting.com/game/nintendo-ds/ace-attorney-apollo-justice
nintendo-ds,Ace Attorney Investigations: Miles Edgeworth,2010-02-16,Teen,Capcom,none,Visual Novel,013388320189,20433,none,https://www.pricecharting.com/game/nintendo-ds/ace-attorney-investigations-miles-edgeworth
nintendo-ds,Advance Wars Days of Ruin,2008-01-21,Everyone 10+,Nintendo,none,Strategy,045496739454,11902,none,https://www.pricecharting.com/game/nintendo-ds/advance-wars-days-of-ruin
nintendo-ds,Advance Wars Days of Ruin,2008-01-21,Everyone 10+,Nintendo,none,Strategy,045496739447,11902,none,https://www.pricecharting.com/game/nintendo-ds/advance-wars-days-of-ruin
nintendo-ds,Advance Wars Dual Strike,2005-08-22,Everyone,Nintendo,none,Strategy,045496735876,3980,none,https://www.pricecharting.com/game/nintendo-ds/advance-wars-dual-strike
