Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
wii,007 GoldenEye,2010-11-02,Teen,Activision,Eurocom,FPS,047875837218,30613,none,https://www.pricecharting.com/game/wii/007-goldeneye
wii,007 GoldenEye,2010-11-02,Teen,Activision,Eurocom,FPS,047875837256,30613,none,https://www.pricecharting.com/game/wii/007-goldeneye
wii,007 GoldenEye,2010-11-02,Teen,Activision,Eurocom,FPS,047875840423,30613,none,https://www.pricecharting.com/game/wii/007-goldeneye
wii,007 GoldenEye [Gold Controller Bundle],2010-11-02,Teen,Activision,Eurocom,FPS,047875840386,30614,none,https://www.pricecharting.com/game/wii/007-goldeneye-gold-controller-bundle
wii,007 GoldenEye [Walmart Gold Controller Bundle],2010-11-01,Teen,Activision,Eurocom,FPS,none,4895296,none,https://www.pricecharting.com/game/wii/007-goldeneye-walmart-gold-controller-bundle
wii,007 Quantum of Solace,2008-11-04,Teen,Activision,none,FPS,047875832732,15891,none,https://www.pricecharting.com/game/wii/007-quantum-of-solace
wii,007 Quantum of Solace,2008-11-04,Teen,Activision,none,FPS,047875834378,15891,none,https://www.pricecharting.com/game/wii/007-quantum-of-solace
wii,007 Quantum of Solace,2008-11-04,Teen,Activision,none,FPS,047875835351,15891,none,https://www.pricecharting.com/game/wii/007-quantum-of-solace
wii,10 Minute Solution,2010-06-29,Everyone,Activision,none,Other,047875761810,21574,none,https://www.pricecharting.com/game/wii/10-minute-solution
wii,101-in-1 Party Megamix,2009-10-27,Everyone 10+,Atlus,none,Party,730865700066,19871,none,https://www.pricecharting.com/game/wii/101-in-1-party-megamix
wii,101-in-1 Sports Party Megamix,2011-01-13,Everyone 10+,Atlus,none,Party,730865700103,30857,none,https://www.pricecharting.com/game/wii/101-in-1-sports-party-megamix
wii,2 for 1 Power Pack Kawasaki Jet Ski & Summer Sports 2,2010-01-06,Everyone,Destineer,none,Racing,828068213114,30953,none,https://www.pricecharting.com/game/wii/2-for-1-power-pack-kawasaki-jet-ski-&-summer-sports-2
wii,2 for 1 Power Pack Winter Blast & Summer Sports 2,2010-01-06,Everyone,Destineer,none,Other,828068213176,39980,none,https://www.pricecharting.com/game/wii/2-for-1-power-pack-winter-blast-&-summer-sports-2
