Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
sega-game-gear,5 in 1 Fun Pak,1994-01-01,Kids to Adults,Interplay,Beam Software,Board & Card,040421850242,18175,"Five all-time, all-star board games now on one FunPak for your GameGear! Play any time, anywhere, at any speed against an opponent who can't quit just because you're winning.

BACKGAMMON - This strategic game has been a hit since the seventeenth century.
-Three Levels of Difficulty
-Take Back and Replay
-Swap Sides
-Doubling

CHECKERS - A good ol' game that's fast and easy fun for everyone
-Three Levels of Difficulty
-Take Back and Replay
-Swap Sides

CHESS - A classic battle of wits and wisdom for all playing levels.
-Six Levels of Difficulty
-Take Back and Replay
-Swap Sides
-Ask for Hints

REVERSI - An analytical challenge that's easy to learn, but tough to master.
-Three Levels of Difficulty
-Take Back and Replay
-Swap Sides

YACHT - You're on a roll using five dice to fill each of the poker-type categories
-Go for a straight, full house or five of a kind
-Takes 3 rolls to get the hand you want",https://www.pricecharting.com/game/sega-game-gear/5-in-1-fun-pak
sega-game-gear,Addams Family,1993-01-01,Everyone,Ocean Software,Arc Developments,Platformer,741062112132,18176,"Great Scott, man! The fiendish Abigail Craven has brainwashed Uncle Fester and imprisoned Pugsley, Wednesday and Granny somewhere in the Addams Family Mansion! The house is a maze of scary rooms with bizarre ghouls around every blood-curdling bend—ah, home sweet home! It’s up to the dashing and mischievous Gomez to rescue his family… or they’ll face a fate worse than life! So, get ready for the kookiest, ookiest, creepiest fun ever.",https://www.pricecharting.com/game/sega-game-gear/addams-family
sega-game-gear,Adventures of Batman and Robin,1995-01-01,Kids to Adults,Sega,Novotrade,Platformer,010086025521,18177,"Break out our Batarang! When the scum of Gotham City decide they want to take over, it’s no joke... or is it? The Joker and his cohorts kidnap Robin as the perfect bait to lure Batman. You can bet that the Dark Knight is going to be up to his ears in hard-fitting combat before this episode is over!
-	Fast, fluid, dynamic action that looks and plays just like the top-rated animated TV series!
-	Unique weapons, puzzles and platforms keep the action hot and heavy.
-	The most insidious bad guys – The Joker, Mr. Freeze, Scarecrow, The Mad Hatter and more!",https://www.pricecharting.com/game/sega-game-gear/adventures-of-batman-and-robin
sega-game-gear,Aerial Assault,1992-01-01,none,Sega,Sanritsu,Shoot'em Up,010086023206,18178,"Soar to Glory in a Fight for Freedom. A terrorist group has the world in the grips of its massive aerial fleet. And you were once a part of it. But they’ve gone too far. So now, along with a small group of renegades, you lead a counterattack. Blast bombers into oblivion. Knock cargo jets out of the skies. And destroy terrorist fighter planes. One by one. Stop them from bombing cities. Catch them as they fly through ozone-level lightning storms. And surprise them as they hide out in bubbling lava fields. They’ve even started to stake out mega-sectors of outer space. Head them off. They’ve got you outnumbered. But you’ve got their techno-weaponry. And you’ve got something worth fighting for: FREEDOM. – Fly the world’s most powerful combat craft against the most ferocious of adversaries. – Pick up power-ups for speed, shielding and high-tech weaponry. – Attack with homing devices, missiles, projectile pacers, 3-way explosives and much more. – Four challenging levels with changing hazards and unique enemy techniques. – Two player option puts you head-to-head against a friend with Gear-to-Gear Cable.",https://www.pricecharting.com/game/sega-game-gear/aerial-assault
sega-game-gear,Aladdin,1994-02-01,Everyone,Sega,SIMS,Platformer,096427012061,18179,"No time for wishes! Aladdin’s whole magical world is before him and evil Jafar is close behind! There are palace guards to battle, a magic lamp to find and a princess to rescue! – Aladdin dodges guards through the street of Agrabah, explores the Cave of Wonders and dashes away on a wild carpet ride! – New adventures and puzzling mazes, including a journey inside the Tiger God and a palace search for Jasmine! – All the favorite Disney characters and non-stop fun as Aladdin outwits the evil Genie-snatcher Jafar!",https://www.pricecharting.com/game/sega-game-gear/aladdin
sega-game-gear,Alien 3,1992-10-01,none,Acclaim Entertainment,Probe Software,Action & Adventure,734549002019,18180,"The Xenomorph are fast, spit acid and are right behind YOU! The motion tracker is your only warning. No time to think, no time to catch your breath… RUN! Can’t see very far ahead in these air ducts. Hard to breathe. Face-huggers can be anywhere. Must find a Queen Alien. The closer you get, the more Aliens you find… better not have them find you first! Just keep telling yourself, “THIS ISN’T REALLY HAPPENING…IT’S ONLY A GAME.” – Feel the Suspense: Aliens can be lurking anywhere! – Feel the Danger: Rescue cocooned prisoners before they’re infected. – Feel the Terror: When you discover what’s become of the prisoners. – Maze of Corridors: Search for trapped prisoners. – Motion Tracker: Top right screen will warn you an Alien is in range. – Fire Power: Blast the Xenomorph with your flame thrower or grenade launcher.",https://www.pricecharting.com/game/sega-game-gear/alien-3
sega-game-gear,Andre Agassi Tennis,1992-01-01,none,Lance Investments,TecMagik,Sports,751571130015,18182,"Put‘em Away From the Baseline! “ANDRE AGASSI TENNIS takes the same nerve and strategy it takes to be a world-class player.”  - Andre Agassi.  Andre Agassi’s explosive smash is yours! Control the court with the Champion’s searing baseline attacks. Trade shoes with Agassi or sweat out your strategy game against 7 other players with completely unique styles. Rally Agassi’s devastating drives and cool mental game for a world-class tennis tournament! – Net-blasting digitalized action features Agassi’s stunning forehand smash, players lunging for the ball, net rushes, slices and blistering backhands. – Play on grass, clay, hard court or the American indoor court.",https://www.pricecharting.com/game/sega-game-gear/andre-agassi-tennis
sega-game-gear,Arcade Classics,1996-01-01,Kids to Adults,Sega,Atari,Arcade,010086023305,18183,"Missile Command and Centipede are back and better than ever! The original games are here, plus specially modified Sega versions that bring these 80’s classics into the 90’s! But the fun doesn’t stop there. You also get the original video game – Pong!",https://www.pricecharting.com/game/sega-game-gear/arcade-classics
sega-game-gear,Arch Rivals,1992-01-01,none,Midway,Arc Developments,Basketball,741062112057,18184,"WHAT?! NO FOULS? That’s right. No Fouls! This is basketball where breaking the rules is the rule! If you can’t block a shot – knock your opponent’s block off. Arch Rivals takes real B-ball skills like passing, shooting, ball handling, slam dunks and 3 point shots. All the “in your face” action of the arcade smash. It’s not just basketball…it’s a basketBRAWL!",https://www.pricecharting.com/game/sega-game-gear/arch-rivals
sega-game-gear,Arena Maze of Death,1996-01-01,Kids to Adults,Sega,Eden Entertainment Software,Shoot'em Up,010086025651,15040,"An evil government has trapped you in a futuristic labyrinth! Fight your way through urban mazes in pursuit of hidden keys… the keys to expose the government’s corruption and to set yourself free. – Unique ¾ perspective creates a 3D playing environment! – Blast through 19 different heavily fortified mazes! – Capture weapon power-ups and annihilate soldiers, mutants and robots!",https://www.pricecharting.com/game/sega-game-gear/arena-maze-of-death
sega-game-gear,Ariel the Little Mermaid,1992-01-01,none,Sega,Blue Sky Software,Action & Adventure,010086024111,18185,"Plunge into an Enchanted Journey Through the Deep Blue Sea! Dive with Ariel into the dangers and delights of the deep. As Ariel, the determined young mermaid, you must battle bewitched sea creatures and defeat Ursula to save Triton and the kidnapped merpeople. Or as Ariel’s father, Triton, you must rescue Ariel and break the witch’s curse. Find treasures, keys, and maps which lead to your imprisoned friends. Dodge dancing clams. Battle the terrible Medusa. Then come face to face with Ursula the Sea Witch for a final showdown! – Hunt through 4 treacherous levels until you find Ursula’s lair. – Ariel uses her captivating singing voice to break Ursula’s evil spells. – A fierce Triton hurls blazing fireballs and furious bolts of lightning.",https://www.pricecharting.com/game/sega-game-gear/ariel-the-little-mermaid
sega-game-gear,Asterix and the Great Rescue,1995-01-01,none,Sega,Core Design,Platformer,010086025200,18186,"Now take the adventures of ancient France with you everywhere! The popular, European character, Asterix and his buddy Obelix set out on a crusade across the Roman Empire to rescue their friends and defeat Caesar. – Play either Asterix or Obelix – each with their own wacky powers! Your special powers may prove you very worthy. – Clobber the Roman soldiers with fists of fury. Conquer obstacles with magic potions and tricks. Outwit and negotiate through sticky situations! – Walk with caution through the Village of Gaul, enter the gates of the Roman fort, and travel the waters of the high seas… journey through 30 levels of Roman adventure!",https://www.pricecharting.com/game/sega-game-gear/asterix-and-the-great-rescue
sega-game-gear,Ax Battler a Legend of Golden Axe,1992-03-01,none,Sega,Aspect Co.,RPG,010086024050,18188,The Golden Axe is in the hands of the sinister Death Adder. Get it back or Firewood is doomed!,https://www.pricecharting.com/game/sega-game-gear/ax-battler-a-legend-of-golden-axe
sega-game-gear,Baku Baku,1996-01-01,Kids to Adults,Sega,Sega,Puzzle,010086850406,18189,"Feeding Time! The Royal Zoo is looking for a zookeeper to take care of the animals. To win this honor, you’ve got to prove yourself! Feed the animals quickly to avoid receiving more work from your opponent! Move fast or the animals will feed on YOU! – Strategic Columns puzzle play! Match animals with their favorite food and munch your way to the next level! – 2 ways to play! Versus the computer or have a feeding frenzy against a friend.",https://www.pricecharting.com/game/sega-game-gear/baku-baku
sega-game-gear,Batman Forever,1995-09-04,Kids to Adults,Acclaim Entertainment,Probe Entertainment,Beat'em Up,021481850199,18192,"The Real Game Begins. BATMAN FOREVER – Batman and Robin blast into Gotham City! Armed with incredible attacks, fierce combat moves, and an arsenal of gadgets, the Dynamic Duo are ready to battle the diabolical minds of Two-Face and The Riddler! Without a question…it’s BATMAN FOREVER!",https://www.pricecharting.com/game/sega-game-gear/batman-forever
sega-game-gear,Batman Returns,1992-01-01,none,Sega,Aspect,Platformer,010086024166,18193,"You Loved it On the Silver Screen… Now Live the Adventure On your Game Gear Screen! All the action of Hollywood’s blockbuster goes portable. Track The Penguin in a non-stop, heart-pounding, thumb-smashing chase through Gotham City. Along the way battle flame-throwing goons, rolling roustabouts, knife throwing molls, and rocket-launching villains. Sludge your way through slimy sewers, scamper across rooftops, then defeat the Red Triangle Circus Gang and Catwoman to reach The Penguin’s Lair. It’s all here, from the Batarang to the Batskiboat to the incredibly excellent Batmobile. Now plaster The Penguin! – From the rooftops of Gotham City to The Penguin’s Lair, gamers face five brutal levels of true arcade action. – Plus all the gadgets which only The Dark Knight himself knows how to handle- Like Batarangs, The Batmobile, the Batskiboat and Batman’s Grappling Hook. – Use awesome power moves, like the hard hittin’ knuckle punch, used by Batman in the blockbuster movie.",https://www.pricecharting.com/game/sega-game-gear/batman-returns
sega-game-gear,Batter Up,1991-10-01,none,Namco,Namco,Baseball,722674020107,18194,"Raw power At the Plate – Batter Up knocks you deep into the world of championship baseball – with hard-hitting action, screaming line drives, impossible diving catches, and sizzling pitches. Jump to snag hard-to-reach fly balls. Snake thundering fastballs past the batter! In Password Play, you’ll captain your team through a championship series. You control the lineup! Call in pinch hitters and relief pitchers. Bunt or steal a base. Choose from fourteen teams, two stadiums, plus game lengths of five or nine innings. And take advantage of two-player mode to create your own world series with a friend.",https://www.pricecharting.com/game/sega-game-gear/batter-up
sega-game-gear,Battleship,1993-09-01,none,Mindscape,Kalisto,Strategy,050047114888,18195,"MAN YOUR BATTLESTATIONS! Cunning. Courage. Nerves of Steel. Do you have what it takes to command your own fleet of six ships? Can you survive thrilling, ruthless combat on the high seas? Stalk your enemy through unfriendly waters. Secretly plot your plan of attack. Then fire. It’s a hit! But remain on red alert! For your opponent wants victory as much as you do! Capsize a carrier. Demolish a destroyer. Sink up to six ships in your opponent’s fleet before your own vessels are found and sunk. Blast the torpedoes and full speed ahead! FEATURES: - Strategically hide your own ships while you formulate a cunning plan of attack on your opponent. – Enjoy classic game strategy in this timeless Naval warfare favorite. -  Ten new special weapons to wage war with – including depth charges, sonar and cruise missiles. - Play again and again – every game is different from the last!",https://www.pricecharting.com/game/sega-game-gear/battleship
sega-game-gear,Battletoads,1993-12-01,Everyone,Tradewest,Arc System Works,Beat'em Up,031719209248,18196,"Okay ‘toads! Let’s get EVEN! When the evil Dark Queen kidnaps both your best buddy and the best-looking girl this side of the Mazallion Star Cluster – what are you gonna do about it? Are you gonna cry? Hide? Call the Starcops? No way! Because you’re a BATTLETOAD and BATTLETOADS don’t cry, hide, or call for help. BATTLETOADS get real MAD – and then they get EVEN! So, strap on your Blaster, power-up the ‘Toadster, and get on down to the Dark Queen’s planet – but watch out ‘toad – this lady’s bad, and she’s got a whole mess of really nasty surprises lined up for you – like the Psyko Pigs, The Mutant Ratpack, Robo-Manus and the Saturn “Toadtrap, to name but a few. You’re  gonna need all your fighting skills to defeat her – the Battletoad Butt, the Big Bad Boot and the Nuclear knuckles. Hey, and don’t forget to take along the Jet Turbo, the Space Board and the Speed Bike. Because you’re gonna need ‘em all, ‘toad, it you’re gonna rescue your friends and get the frog outta there with your green skin intact!",https://www.pricecharting.com/game/sega-game-gear/battletoads
sega-game-gear,Beavis and Butthead,1994-10-01,Mature,Viacom New Media,Radical Entertainment,Action & Adventure,040824225012,18197,"We wanna go to the GWAR concert, but we need to find that stuff, uh, whatever it is, money or something. So now you got to help us find some, cause we gotta look like, high and, uh, low or something. – Rocking at the GWAR concert, this could be you. Except it’s like, us. – Some guys freak out when you touch their car, but we weren’t gonna drive it. Far. – Buzzcut says school should get tough on kids like us. Like going to school isn’t tough enough. – Butt-head with a lot of radiation is pretty scary. But not as scary as Beavis with a lot of money.",https://www.pricecharting.com/game/sega-game-gear/beavis-and-butthead
sega-game-gear,Berenstain Bears Camping Adventures,1994-11-01,Everyone,Sega,Realtime Associates,Action & Adventure,010086024470,18198,"Everybody’s favorite Berenstain Bears take to the hills on a camping adventure packed with surprises. Brother and Sister Bear wander too far and wind up lost! They’ll need a “pawful” lot of help finding the trail back to camp through sparkling streams, diamond caves, honey orchards and a haunted forest! – Play either Brother Bear or Sister Bear on a challenging nature romp with puzzles to solve and tricky critters to bop or jump over! – Catch fish and butterflies, scoop up diamonds and gather honey to unlock hidden trails back to the campsite. Collect all the goodies and visit the haunted forest! – Bop bees, birds, wolves and other pests with the high-flying Bear Bottom Bounce! – Three skill levels let everybody win! Recommended for kids 5 to 9.",https://www.pricecharting.com/game/sega-game-gear/berenstain-bears-camping-adventures
sega-game-gear,Bonkers Wax Up,1994-01-01,Kids to Adults,Sega,Al Baker & Associates,Action & Adventure,010086025361,18199,"Toon terror rules! Creepy Madame Who-Said has lured Bonkers to her ancient Wax Museum. She’s been busy coating famous Toons in wax to make statues for her displays. Now she needs Bonkers to top off her gruesome collection! – Bonkers must duck, dodge, and side-step a museum-full of tricky traps set by Madame’s demented brother! – Help Bonkers sneak through 6 chambers of horror-without ending up a hot-waxed has-been! – Reach pal Lucky in time or he’ll get a lasting spray-coat of sticky goo! – Find and assemble the Toon Toaster and un-wax the Toons! Its pieces are hidden all over the museum!",https://www.pricecharting.com/game/sega-game-gear/bonkers-wax-up
sega-game-gear,Bram Stoker's Dracula,1993-08-01,none,Sony Imagesoft,Probe Software,Action & Adventure,090451501065,18200,"Bram Stoker’s Dracula goes straight for the jugular. In every terrifying level – each divided into day and night – plunge deep into the ultimate interactive movie. Great graphics and an awesome soundtrack bring to life the cold, dark dungeons of Castle Dracula, the brutal Transylvanian countryside, and eerie 19th-century London. During the day you’ll search for weapons while fighting off bloodthirsty bats and poisonous spiders. The, as the sun sets, the evil Prince of Darkness rises and attacks as a bat, a vicious wolf, or even an old man. But make no mistake… he must be stopped!",https://www.pricecharting.com/game/sega-game-gear/bram-stoker%27s-dracula
sega-game-gear,Bubble Bobble,1994-01-01,Everyone,Taito Corporation,Open Corp,Platformer,020588010888,18201,"It’s Dyno-Myte!
The evil warlock Grumple Grommit has changed Bub and Bob into blubble-blowing brontosauruses, and kidnapped two of their pals! The two jolly round dinosaurs must set off through the magic forest on a quest to save their buddies, defeating Grumple’s wicked and hungry beasties along the way. Their only weapon is their cool and crazy bubble-blowing power.
*200 action packed, bubble-blowing levels!
*Play special Bonus Rounds to get a leg=up on your quest to rescue your pals
*Grab special Magic Items to give you special added power, but grab them quickly!
*2 dinosaurs are better than 1! With a friends Game Gear System and the special Gear-to-Gear cable, sold separately, you and a friend can try to save your pals.",https://www.pricecharting.com/game/sega-game-gear/bubble-bobble
sega-game-gear,Bugs Bunny Double Trouble,1996-01-01,Kids to Adults,Sega,Probe Entertainment Limited,Platformer,010086025699,18203,"BUGS BUNNY has dreamed his way into double trouble. A Mad Scientist is after Bugs' brain! To escape, bugs must use the Scientist's Televisor to travel through dreamland and outwit his LOONEY TUNES pals, including DAFFY DUCK, ELMER FUDD, and YOSEMITE SAM. But Bugs' nightmare doesn't end there. Before he can rest, Bugs must rocket to Mars to battle MARVIN THE MARTIAN and his trusty dog K-9. Move fast or... ""That's all Folks!""",https://www.pricecharting.com/game/sega-game-gear/bugs-bunny-double-trouble
sega-game-gear,Bust a Move,,none,Taito Corporation,Santos,Puzzle,010086025675,18204,"This popular puzzler will have you “busting” for more!
Line up three balloons of the same color and bust them before they come piling down. The longer you play, the harder it gets – and the more addicted you’ll be!
*Play alone or split the screen for two player action!
*Two-Player battle mode pits you against an opponent or against the computer in a race to finish first.
*Passwords let you play through 99 challenging levels!",https://www.pricecharting.com/game/sega-game-gear/bust-a-move
sega-game-gear,Caesar's Palace,1993-01-01,Everyone,Virgin Interactive,Teeny Weeny Games,Casino,052145850095,18206,"CAESARS PALACE stretches your entertainment dollar to the hilt with more casino gaming action than ever before available for GameGear! With lots of games to choose from, you'll experience the pulse-quickening excitement of casino gaming in the world famous CAESARS PALACE. Special invitation-only VIP tables: Make the big bucks and you may be invited to play with the big boys. One-stop shopping at the ATM machines: Withdraw money, keep track of your winnings and play a scratcher at any of the ATMs scattered throughout the casino.",https://www.pricecharting.com/game/sega-game-gear/caesar%27s-palace
sega-game-gear,Caesar's Palace,1993-01-01,Everyone,Virgin Interactive,Teeny Weeny Games,Casino,096427012405,18206,"CAESARS PALACE stretches your entertainment dollar to the hilt with more casino gaming action than ever before available for GameGear! With lots of games to choose from, you'll experience the pulse-quickening excitement of casino gaming in the world famous CAESARS PALACE. Special invitation-only VIP tables: Make the big bucks and you may be invited to play with the big boys. One-stop shopping at the ATM machines: Withdraw money, keep track of your winnings and play a scratcher at any of the ATMs scattered throughout the casino.",https://www.pricecharting.com/game/sega-game-gear/caesar%27s-palace
sega-game-gear,Captain America and the Avengers,1993-01-01,Everyone 10+,Mindscape,Realtime Associates,Beat'em Up,050047114895,18207,"Red Skull is back with a sinister mind-control device to command the most evil supervillains on earth against the forces of good. The supervillains want to control the universe! Captain America and the Avengers are the world's last hope in this battle against evil Join Cap, Iron Man, Hawkeye and Vision, as they combine their special powers with your skills in a last ditch effort to defeat Red Skill and his evil henchmen. Succeed, and you're a hero. Fail, and we'll revoke your Avengers security clearance!
*Stunning graphics, sounds and arcade effects starring Earth’s Mightiest Heroes!
*Intense gameplay action straight from the #1 arcade hit!
*Five massive levels of action, with bonus lives and special power-ups!
*Villains you love to hate, like Whirlwind, Ultron, Grim Reaper, Crossbones and more!",https://www.pricecharting.com/game/sega-game-gear/captain-america-and-the-avengers
sega-game-gear,Casino Fun Pak,1995-01-01,none,none,none,Other,none,35636,none,https://www.pricecharting.com/game/sega-game-gear/casino-fun-pak
sega-game-gear,Castle of Illusion,1991-06-01,none,Sega,Sega,Platformer,010086024012,18208,"Enchanted… Oh No! Minnie has been captured by the evil witch Mizrabel. You must rescue Minnie or the jealous witch will steal her beauty. Run, climb, and leap your way through the vast Castle of Illusion, collecting lifesaving gems as you go. Defeat angry chess knights, overcome grizzly haunted trees, and do battle with ghoulish ghosts and a deadly dragon. Then, just when you think you’ve mastered the illusions, you’re face-to-face with the most dangerous of all – Witch Mizrabel! Can you do it? Mickey needs your help.",https://www.pricecharting.com/game/sega-game-gear/castle-of-illusion
sega-game-gear,Chakan,1992-01-01,none,Sega,Sega,Platformer,010086024142,18209,"""Darkness falls upon the land as I await the return of the visions that have haunted my nights. Many years have passed since my arrogance doomed me to this life I now live, for I am condemned to walk the countryside until I can overcome the visions that keep me from my rest... I can rely on only my swords and my knowledge of alchemy to release me from these bonds of time.""",https://www.pricecharting.com/game/sega-game-gear/chakan
sega-game-gear,Chase HQ,1991-01-01,none,Taito Corporation,Taito Corporation,Action & Adventure,020588010482,18210,"New York has become a haven for drug dealers, murderers, and petty criminals of all sorts. The New York City Police Department has established a special task force to help clean up the city. Based on Manhattan, the Chase task force is responsible for handling dangerous, high-speed car chase operations to apprehend escaping criminals.",https://www.pricecharting.com/game/sega-game-gear/chase-hq
sega-game-gear,Cheese Cat-Astrophe Starring Speedy Gonzales,1995-01-01,none,Sega,Cryo Interactive,Platformer,010086025231,18211,"Arriba, arriba, arriba! Speedy is living peacefully with his friends – when suddenly enters the dastardly Dr. Cheesefinger (aka Sylvester). Help Speedy Gonzales overcome the callous cat’s hidden traps, rescue his girlfriend Carmel, and restore the village cheese supply!
*Featuring Speedy Gonzales and special guest appearances by some of your favorite Looney Tunes characters!
*Our south of the border hero is armed and ready! Throw his sombrero like a boomerang and slime his enemies with a melted cheese gun!
*6 levels of fun, humor, and plenty of variety. Amazing animation and fluid action!",https://www.pricecharting.com/game/sega-game-gear/cheese-cat-astrophe-starring-speedy-gonzales
sega-game-gear,Chessmaster,1992-01-01,none,Sega,NovaLogic,Board & Card,010086023176,18212,"Make your move… On the Move!

The Chessmaster is the perfect at-home or traveling companion for any chess player, from newcomer to grandmaster. While you’re learning, it shows all possible moves and points out the best ones. Trust it as your advisor when you compete against a friend. As an adversary, it thinks ahead to try to outwit any move you make.
Are you ready to challenge the Chessmaster and checkmate the expert?

*16 skill levels form newcomer to grandmaster
*3 Possible play modes – against a friend, the computer, or computer vs. computer.
*Teaching mode that shows all moves and recommends strategy.
*Codewords to save games and continue later",https://www.pricecharting.com/game/sega-game-gear/chessmaster
sega-game-gear,Chicago Syndicate,,none,Sega,none,Beat'em Up,010086025354,18213,"Chicago 1920: Corruption and violence have taken hold of the ciyu. Six gangster bosses control the streets. Larcen Tyler must singly-handedly take control of Chicago - or die trying!

Presenting Larcen Tyler, from Eternal Champions, in his best role ever - from expert gangster to clean-up crusader!

Use Larcens full range of weapons, and 60 different fighting moves to fight Chicagos toughest gangsters in six territories of the city!

Your attack plan depends on what's currently happening in each territory. Stay on top of the syndicates' next moves through the informants and local events to plan your attack strategically!

No game will ever be the same!",https://www.pricecharting.com/game/sega-game-gear/chicago-syndicate
sega-game-gear,Choplifter III,1995-01-01,Everyone 10+,Extreme Entertainment Group,Teeny Weeny Games,Shoot'em Up,027479980022,18214,"Torch it! Rage, And enough napalm to fry the Amazon. That’s all you need to rescue your men and wipe terrorism off the face of the earth. War is hell! And tonight you’re dealing one-way tickets.
*Maneuver over water, under ground, into jungles and through burning cityscapes on five dangerous missions.
*More than 100 hostages to rescue.
*Pit your wits against planes, tanks, gunships and a barrage of anti-aircraft artillery!
*Missiles, bombs, even flame throwers, at your fingertips.
*Every Rocket launch and nuclear blast is brought to life through scorching graphics and sound effects.",https://www.pricecharting.com/game/sega-game-gear/choplifter-iii
sega-game-gear,Chuck Rock,1992-01-01,none,Sega,Core Design Ltd.,Platformer,010086024302,18215,"Once upon a rock, there was a primitive prince charming who was more evoled than the rest. His name: Chuck Rock. It's no wonder Ophelia fell for him like a two-ton boulder. They were living happily ever after until Gary Critter-one of Ophelia's many suitors-decided he had to have the lovely Ophelia for himself. So now it's time for you and Chuck to go Critter-hunting.

Watch out for the toxic lake as you forge through the ferocious jungle. The Graveyard is a spooky place crawling with not-so-dead dino’s, some of them even come back to haunt you after you’ve Belly-Bonked ‘em.
You’re in for an action-packed romp through the way-out world of one angry Neanderthal.
*Use Chuck Rock’s lethal Belly-Bonk to trash spiny hedgehogs, biting spiders, buzzing pterodactyls and lots of other prehistoric pests.
*Chuck’s mighty muscles let you pick up and hurl boulders at anything in your way – or use them to build bridges and platforms.
*Dino-friends can be used as trampolines, cannons, airplanes and vehicles and other useful items.
*8-way scrolling puts you in total control of Chuck’s every move.
*5 levels of intense graphics and Belly-Bonking action!",https://www.pricecharting.com/game/sega-game-gear/chuck-rock
sega-game-gear,Chuck Rock II Son of Chuck,1993-01-01,none,Tengen,Core Design Ltd.,Platformer,none,18216,"Chuck’s Kid is a chip off the old block!
America’s favorite caveman has been kidnapped, and his diaper-clad, pot-bellied son is out to save him! This inspired sequel to Chuck Rock is the smoothest action game on the Game Gear, with three levels of difficulty, Animated end-of-level bosses and lots of silly stone-age companions. All the levels and challenge of the Genesis version brought to you for Game Gear by Tengen.",https://www.pricecharting.com/game/sega-game-gear/chuck-rock-ii-son-of-chuck
sega-game-gear,CJ Elephant Fugitive,,Not Applicable,Codemasters,Big Red Software,Action & Adventure,none,65277,none,https://www.pricecharting.com/game/sega-game-gear/cj-elephant-fugitive
