Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
gameboy,007 James Bond,1998-02-09,Everyone,Nintendo,Saffire,Action & Adventure,045496730642,2888,"An arms smuggling ring threatens to create a new world order. The peace and security of the entire planet is at stake. MI6 sent agent 008 into Turkey to dismantle the operation. Soon thereafter, all contact was lost with 008. M makes a decision to send their best agent, James Bond, to investigate the whereabouts of 008. As Bond carries out this latest order, he becomes entangled in his deadliest mission yet.
As James Bond, you must use all of your expertise to unravel the sinister plot. It is up to you to determine friend from foe as you uncover clues. Along the way, weapons and items will be found that assist you in overcoming the many obstacles placed in your path. Be sure to keep an eye open for Q and his unique brand of help. Be careful, Bond, you may not be able to charm everyone.",https://www.pricecharting.com/game/gameboy/007-james-bond
gameboy,2 In 1: Flying Warriors / Fighting Simulator,1992-04-01,Unkown,Culture Brain,Culture Brain,Other,047743910098,31328,"Available for the 1st.time on the Game Boy! 2 Games in 1, this is one of the most powerful vs tournament game ever made! 
*Fight simulator mode – There are 7 different contact sport to choose from in this game pack, including Kung-Fu, wrestling and boxing. Choose your favorite sport and play for the World Championship! By using the Game Link feature, you can enjoy a vs tournament with your friends. Fierce fights for the title of the strongest in the world begin now!
*Flying Warriors action game mode – Besides a fighting simulator mode, there is a scroll action game too. Our superhero Rick, fights against a mysterious enemy, the Dark Dragon. Fight through the numerous formidable enemies and traps and get the legendary treasure back from evil’s hand.",https://www.pricecharting.com/game/gameboy/2-in-1-flying-warriors-fighting-simulator
gameboy,4 in 1 Fun Pak,1992-12-01,Everyone,Imagineer,Unkown,Other,040421810031,13259,Unkown,https://www.pricecharting.com/game/gameboy/4-in-1-fun-pak
gameboy,4 in 1 Funpak Volume II,1993-08-01,Everyone,Imagineer,Unkown,Other,040421810123,13260,Unkown,https://www.pricecharting.com/game/gameboy/4-in-1-funpak-volume-ii
gameboy,Addams Family,1992-01-01,Everyone,Ocean Software,Ocean Software,Platformer,020295020064,13461,Unkown,https://www.pricecharting.com/game/gameboy/addams-family
gameboy,Addams Family Pugsley's Scavenger Hunt,1993-07-01,Everyone,Ocean Software,Ocean Software,Action & Adventure,020295020101,13462,Unkown,https://www.pricecharting.com/game/gameboy/addams-family-pugsley%27s-scavenger-hunt
gameboy,Adventure Island,1992-02-01,Everyone,Hudson Soft,Hudson Soft,Platformer,039854000157,7259,"Master the Islands! Master Higgins is back! Help him search through several uncharted islands for the missing Princess Tina! Grab a skateboard and thrash across savage lands filled with spiders, cobras, skeletons and more! Crack open monster eggs to free your dinosaur buddies- they'll give you a wild ride! You'll explore the center of menacing volcanoes, dive deep into subterranean lakes and take to the skies on your quest. But look out for the hungry guardians of the untamed islands- they're waiting to make Master Higgins their next meal! Your search for Princess Tina will be an adventure of a lifetime! *Find hidden eggs for fast shortcuts and bonus items! *Spectacular graphics and excellent game play highlight the action!",https://www.pricecharting.com/game/gameboy/adventure-island
gameboy,Adventure Island II,1992-02-01,Everyone,Hudson Soft,Now Production,Platformer,039854000218,7260,"Jeannie Jungle is Kidnapped! A mysterious flying saucer just made off with Master Higgins' girlfriend and it's up to him to save her! But first he must defeat scores of mutated monsters across eight uncharted islands! Battle your way through all new dangers and challenges on the biggest Adventure Island yet! Find secret treasure chambers, surf through killer waves and grab all the bonus items you can handle as you master each realm! Action, adventure and more await you in this thrilling addition to the Adventure Island saga! *A new dinosaur friend joins Master Higgins' team of wild reptiles! *Collect Power Crystals to gain temporary invulnerability!",https://www.pricecharting.com/game/gameboy/adventure-island-ii
gameboy,Adventures of Star Saver,1992-03-01,Unkown,Taito Corporation,A-Wave,Platformer,020588010475,13263,"An alien invasion force has attacked Earth and kidnapped Kevin and his sister! After refusing to become a spy for them, Kevin is blown out of the alien spaceship. But a telepathic robot rescues him, and together they decide to take on the aliens single-handed. Kevin must learn how to use space-age weaponry and a special robotic suit on his mission to infiltrate the alien headquarters. Only there does he stand a chance of stopping the invasion and bringing his sister home alive!",https://www.pricecharting.com/game/gameboy/adventures-of-star-saver
gameboy,Aerostar,1991-09-01,Everyone,Vic Tokai,Vic Tokai,Shoot'em Up,034912784673,13264,"World War VI left the Earth desolate and uninhabitable. Many years later, the Intergalactic Council discovered the Earth could once again be populated, and people returned to rebuild their lives. Unknown to them, mutant forces ad gone undetected, and are now wrecking havoc on the defenseless humans. Fearing the total extermination of the Earth, the Intergalactic Council has deployed AEROSTAR, the most powerful fighter ever built. This state-of-the-art vehicle of destruction is Earth's only hope for salvation, but is useless without the right pilot....",https://www.pricecharting.com/game/gameboy/aerostar
gameboy,Aladdin,1993-11-11,Unkown,Virgin interactive,NMS Software,Action & Adventure,052145810136,18572,"Hang onto your magic carpet for action and fun! Aladdin must slash his nighty scimitar to fight and dash through the city of Agrabah, escape the Sultan's dungeon, survive the fiery Cave of Wonders, snatch the Genie's Lamp and save Princess Jasmine from the evil Jafar in the most magical desert adventure of all time! *Nine levels of magical adventure filled with desert warriors, spitting camels and flying carpets. *Hilarious fun with pants-dropping Palace Guards and dirtwad-spitting camels. *One exciting bonus round that takes you deep into the Genie's magical lamp. *Academy Award winning music straight from the movie with favorites like A WHOLE NEW WORLD and FRIEND LIKE ME. *Super Game Boy compatibility means Aladdin's entire adventure, from the market at Agrabah to the interior of Jafar's evil palace, is gorgeously color-enhanced.",https://www.pricecharting.com/game/gameboy/aladdin
gameboy,Alfred Chicken,1994-02-01,Everyone,Mindscape,Twilight,Platformer,050047113744,2737,"Super-Hero with a Bionic Beak! Whoa... Alfred needs your help! The Evil Meka-Chickens have raided the hen house and stolen Alfred's chick, Floella, and all the little egg-a-roonies! Now, these turkeys say they'll scramble the eggs. It's nothing to crow about! An egg-xasperated Alfred Chicken struts off to pluck his loved ones from the dangers of the Meta-Chickens' world. Remember, while Alfred is a Super-Hero wannabe, he's still a ruffled-feather chicken... you gotta help! *Egg-splore way out worlds and warp space *Fight fowl feasting fiends *Find fine feathered friends *Make Meka-Chickens mincemeat - After you play this game, who you think is ""Chicken: will never be the same.",https://www.pricecharting.com/game/gameboy/alfred-chicken
gameboy,Alien 3,1992-10-01,Unkown,Acclaim Entertainment,Bits Studios,Action & Adventure,023582058115,34778,"You are Ripley, the sole survivor of the crash landing on Fury 161. Hicks...gone, Newt...gone, Bishop...damaged beyond repair. Somewhere in the intricate maze of air ducts and passageways lurks a Queen Alien. You know what you have to do...end this nightmare! Blast life-sucking face-huggers with your pulse rifle and exterminate deadly aliens with your flame thrower - before ""The Company"" rescue mission arrives. Stop the Queen at all costs!!",https://www.pricecharting.com/game/gameboy/alien-3
gameboy,Alien vs Predator,1993-11-01,Unkown,Activision,ASK,Action & Adventure,047875730021,13266,"You are the Predator! You're the last of a clan that's been decimated by an overwhelming number of savage aliens. Their numbers and ferocity can only mean one thing - they're defending an alien queen! Defend your honor! Defend your clan's honor! Hunt the queen and take revenge. Use your awesome Predator weaponry: laser cannons, wristblades, cutting disk, bombs and cloaking device as you fight your way through hordes of vicious alien hordes, face-huggers and chest-bursters on 7 maze-like levels in your quest for the ultimate trophy: the alien queen!",https://www.pricecharting.com/game/gameboy/alien-vs-predator
gameboy,All-Star Baseball 99,1998-05-27,Everyone,Acclaim Entertainment,Realtime Associates Seattle Division,Baseball,021481511441,13267,,https://www.pricecharting.com/game/gameboy/all-star-baseball-99
gameboy,Alleyway,1989-07-31,Everyone,Nintendo,Nintendo Research & Development & Intelligent Systems,Arcade,045496730017,2740,Interstellar ping-pong with a deadly energy ball! Your spaceship is at the gate of the Alleyway. Use your vessel to repel the energy ball. Atomize space grids with your return shots. Destroy the entire field and move on to even more challenging targets. You're in command in the Alleyway!,https://www.pricecharting.com/game/gameboy/alleyway
gameboy,Altered Space,1991-09-01,Teen,Sony Imagesoft,Acclaim Studios Manchester,Puzzle,090451204027,13268,"They never talked about being captured by aliens back in Astronaut School... So what's an astronaut supposed to do? Why, escape, of course, which is exactly what Humprey the astronaut sets out to do. He must make his way through the alien ship (over 250 rooms, all different, all dangerous) to reach an escape pod and return to Earth. Aliens, droids and tricky traps are waiting for him. He's counting on YOUR help!",https://www.pricecharting.com/game/gameboy/altered-space
gameboy,Amazing Penguin,1990-12-01,Everyone,Natsume,Natsume,Action & Adventure,719593020011,13269,"The hunt is on in this exciting action-maze game! Join Pendrich, the Prince of the Penguins as he battles the enchanted armies of Borbon the Great. Attack with mighty kicks that blast the enemies across the screen. Clear the panels of each land to progress to the next level. It takes timing and strategy to win back the land from Borbon's invaders! *40 levels of non-stop action and amazement! *Password feature returns you to your last completed zone. *Unlimited “continues” for hours of enjoyment.",https://www.pricecharting.com/game/gameboy/amazing-penguin
gameboy,Amazing Spiderman,1990-07-01,Everyone,LJN Ltd.,Rare Ltd.,Beat'em Up,023582058009,13464,"So you think the life of a Marvel Super Hero is an easy one? Wrong! Take Spider-Man for example. While he’s out protecting decent folk, a group of evil mutants kidnap his wife and threaten to “neutralize” her if their demands aren’t met. Now Spidey’s got to get her back before something terrible happens. It won’t be easy though, because he’s got the likes of Hobgoblin, Mysterio, Dr. Octopus and some of Marvel’s other favorite “baddies” standing in his way. So, if you feel up to the challenge and you’re ready for some serious wall-crawling, make sure your web spinners are full and batteries refreshed before you tackle this Game Boy adventure. We’re sure you’ll be playing this one for a long, long time.",https://www.pricecharting.com/game/gameboy/amazing-spiderman
gameboy,Amazing Tater,1992-02-01,Unkown,Atlus,Atlus Co.,Puzzle,730865100026,32749,"Meet Spud, the A-Mazing Tater. Spud must pass the King's Challenge to become a Knight. The Challenge will test his feet, his brain and his heart.. Can you help young Spud as he tries to meet the Challenge?",https://www.pricecharting.com/game/gameboy/amazing-tater
gameboy,Animaniacs,1995-07-01,Everyone,Konami,Factor 5,Platformer,083717140191,2743,"Yakko, Wakko and Dot are out of the water tower and running wild across the movie sets of ""Bungle in the Jungle"", ""Remember the a la Mode"" and ""To Scream or not to Scream"". Guide their hilarious hijinks to find power-ups and avoid crazy traps like catapults, runaway trains, and giant boulders. Use each character's special abilities and unique talents on your quest to collect the key movie props on each set! *Watch for your favorite Animaniacs characters – like Ralph the Security Guard, Mindy, Buttons, and Pinky and The Brain! *Yakko moves big obstacles and plays paddleball! Wakko is a smash with his mallet! Dot gets by with her irresistible charm!",https://www.pricecharting.com/game/gameboy/animaniacs
