Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
gameboy-advance,007 Everything or Nothing,2003-11-01,Teen,Electronic Arts,Unkown,Action & Adventure,014633147179,2162,Unkown,https://www.pricecharting.com/game/gameboy-advance/007-everything-or-nothing
gameboy-advance,007 Nightfire,2003-03-01,Teen,Electronic Arts,Unkown,Action & Adventure,014633146226,2418,Unkown,https://www.pricecharting.com/game/gameboy-advance/007-nightfire
gameboy-advance,2 Games in 1 Double Pack: SpongeBob,2006-09-08,Everyone,THQ,Unkown,Compilation,785138321776,16139,Unkown,https://www.pricecharting.com/game/gameboy-advance/2-games-in-1-double-pack-spongebob
gameboy-advance,2006 FIFA World Cup,2006-04-24,Everyone,Electronic Arts,EA Canada,Soccer,014633152029,11066,"2006 FIFA World Cup features 12 official stadiums used at 2006 FIFA World Cup Germany and stadiums from each qualifying region. Gamers can play as their favorite team from qualification right through to a virtual reproduction of the tournament in Germany. With enhanced player animations, EA SPORTS has emulated close to 100 of the world's superstars, capturing their playing styles and individual likenesses. In addition to enabling gamers to participate in the 2006 FIFA World Cup Germany by taking control of one of 127 national teams, the game features new compelling modes of play, including the groundbreaking Global Challenge that tests even the most hardcore soccer fan by recreating classic moments in FIFA World Cup history. Furthermore, the game supports up to eight-way multiplayer matches and features a plethora of in-game unlockable content such as legendary players and exclusive apparel.",https://www.pricecharting.com/game/gameboy-advance/2006-fifa-world-cup
gameboy-advance,3-in-1 Rec Room Challenge,2005-12-12,Everyone,Majesco,Unkown,Sports,096427014614,11338,Unkown,https://www.pricecharting.com/game/gameboy-advance/3-in-1-rec-room-challenge
gameboy-advance,3-in-1 Sports Pack,2005-12-01,Everyone,Majesco,Unkown,Sports,096427014522,11336,Unkown,https://www.pricecharting.com/game/gameboy-advance/3-in-1-sports-pack
gameboy-advance,3D Pool,2004-11-01,Everyone,Ignition,Unkown,Sports,893384000021,1964,Unkown,https://www.pricecharting.com/game/gameboy-advance/3d-pool
gameboy-advance,A Sound of Thunder,2005-02-01,Teen,BAM,Unkown,Action & Adventure,682384320181,1965,Unkown,https://www.pricecharting.com/game/gameboy-advance/a-sound-of-thunder
gameboy-advance,Ace Combat Advance,2005-02-23,Everyone,Namco,Unkown,Action & Adventure,722674500098,10954,Unkown,https://www.pricecharting.com/game/gameboy-advance/ace-combat-advance
gameboy-advance,Activision Anthology,2003-12-09,Everyone,Aspyr,Unkown,Arcade,618870401201,1967,Unkown,https://www.pricecharting.com/game/gameboy-advance/activision-anthology
