Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
nintendo-3ds,50 Classic Games,2012-03-27,Everyone,Maximum Games,Unkown,Strategy,814290011840,32693,Unkown,https://www.pricecharting.com/game/nintendo-3ds/50-classic-games
nintendo-3ds,7th Dragon III Code VFD,2016-07-12,Teen,Sega,Unkown,RPG,010086611212,36722,Unkown,https://www.pricecharting.com/game/nintendo-3ds/7th-dragon-iii-code-vfd
nintendo-3ds,7th Dragon III Code VFD Launch Edition,2016-07-12,Teen,Sega,Unkown,RPG,Unkown,37776,Unkown,https://www.pricecharting.com/game/nintendo-3ds/7th-dragon-iii-code-vfd-launch-edition
nintendo-3ds,Ace Combat Assault Horizon Legacy,2011-11-15,Teen,Namco,Unkown,Simulation,722674700382,32250,Unkown,https://www.pricecharting.com/game/nintendo-3ds/ace-combat-assault-horizon-legacy
nintendo-3ds,Ace Combat: Assault Horizon Legacy Plus,2015-02-10,Teen,Namco Bandai,Unkown,Other,722674700672,35549,Unkown,https://www.pricecharting.com/game/nintendo-3ds/ace-combat-assault-horizon-legacy-plus
nintendo-3ds,Adventure Time: Explore the Dungeon Because I Don't Know,2013-11-19,Everyone 10+,D3 Publisher,WayForward Technologies,Action & Adventure,879278006126,34583,Unkown,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-explore-the-dungeon-because-i-don%27t-know
nintendo-3ds,Adventure Time: Finn and Jake Investigations,2015-10-20,Everyone 10+,Little Orbit,Vicious Cycle Software,Action & Adventure,815403010675,36134,Unkown,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-finn-and-jake-investigations
nintendo-3ds,Adventure Time: Hey Ice King,2012-11-20,Everyone 10+,D3 Publisher,WayForward Technologies,Action & Adventure,879278360082,33368,Unkown,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-hey-ice-king
nintendo-3ds,Adventure Time: Hey Ice King Collector's Edition,2012-11-20,Everyone 10+,D3 Publisher,WayForward Technologies,Action & Adventure,879278369085,33919,Unkown,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-hey-ice-king-collector%27s-edition
nintendo-3ds,Adventure Time: The Secret of the Nameless Kingdom,2014-11-17,Everyone 10+,Little Orbit,WayForward Technologies,Action & Adventure,815403010507,35328,Unkown,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-the-secret-of-the-nameless-kingdom
nintendo-3ds,Adventures of Tintin: The Game,2011-12-06,Everyone 10+,Ubisoft,Unkown,Action & Adventure,008888166641,32374,Unkown,https://www.pricecharting.com/game/nintendo-3ds/adventures-of-tintin-the-game
nintendo-3ds,Alien Chaos,2012-09-25,Everyone 10+,GMG Play,Ludosity,Action & Adventure,857398003010,40258,Unkown,https://www.pricecharting.com/game/nintendo-3ds/alien-chaos
nintendo-3ds,Alliance Alive,2018-03-27,Everyone 10+,Atlus,Unkown,RPG,730865300280,45706,Unkown,https://www.pricecharting.com/game/nintendo-3ds/alliance-alive
nintendo-3ds,Amazing Spiderman,2012-06-26,Teen,Activision,Unkown,Action & Adventure,047875843530,32877,Unkown,https://www.pricecharting.com/game/nintendo-3ds/amazing-spiderman
nintendo-3ds,Amazing Spiderman 2,2014-04-29,Rating Pending,Activision,Unkown,Action & Adventure,047875849440,34839,Unkown,https://www.pricecharting.com/game/nintendo-3ds/amazing-spiderman-2
nintendo-3ds,American Mensa Academy,2012-11-13,Everyone,Maximum Games,Unkown,Puzzle,814290012304,33424,Unkown,https://www.pricecharting.com/game/nintendo-3ds/american-mensa-academy
nintendo-3ds,Andro Dunos 2,2022-04-25,Everyone,Pixelheart/VGNYsoft,Picorinne soft,Shoot'em Up,789993810994,3395539,The sequel to the famous shoot’em up from Visco studio is coming to PixelHeart. It’s time to bring out your good old spaceship fighter in ANDRO DUNOS 2.,https://www.pricecharting.com/game/nintendo-3ds/andro-dunos-2
nintendo-3ds,Angry Birds Star Wars,2013-10-29,Everyone,Activision,Exient,Action & Adventure,047875767904,34466,Unkown,https://www.pricecharting.com/game/nintendo-3ds/angry-birds-star-wars
nintendo-3ds,Angry Birds Trilogy,2012-09-25,Everyone,Activision,"Rovio, Exient",Action & Adventure,047875767294,33110,Unkown,https://www.pricecharting.com/game/nintendo-3ds/angry-birds-trilogy
nintendo-3ds,Animal Crossing Happy Home Designer,2015-09-25,Everyone,Nintendo,Nintendo EAD,Other,045496743284,36069,Unkown,https://www.pricecharting.com/game/nintendo-3ds/animal-crossing-happy-home-designer
nintendo-3ds,Animal Crossing: New Leaf,2013-06-09,Everyone,Nintendo,Nintendo EAD,Simulation,045496742393,34064,Unkown,https://www.pricecharting.com/game/nintendo-3ds/animal-crossing-new-leaf
nintendo-3ds,Are You Smarter Than A 5th Grader,2015-09-08,Everyone,Madcow,Unkown,Other,834656000288,46405,Unkown,https://www.pricecharting.com/game/nintendo-3ds/are-you-smarter-than-a-5th-grader
nintendo-3ds,Art Academy: Lessons for Everyone,2012-10-01,Everyone,Nintendo,Unkown,Other,045496742119,33152,Unkown,https://www.pricecharting.com/game/nintendo-3ds/art-academy-lessons-for-everyone
nintendo-3ds,Asphalt: 3D,2011-03-22,Everyone 10+,Ubisoft,Unkown,Racing,008888166696,31094,Unkown,https://www.pricecharting.com/game/nintendo-3ds/asphalt-3d
nintendo-3ds,Atooi Collection,2020-08-07,Everyone,Limited Run Games,Atooi,Compilation,819976024152,117569,Unkown,https://www.pricecharting.com/game/nintendo-3ds/atooi-collection
nintendo-3ds,Azure Striker Gunvolt Striker Pack,2016-10-04,Teen,U&I Entertainment,Inti Creates,Platformer,812303010859,36971,Unkown,https://www.pricecharting.com/game/nintendo-3ds/azure-striker-gunvolt-striker-pack
nintendo-3ds,Barbie and Her Sisters: Puppy Rescue,2015-11-03,Rating Pending,Little Orbit,Unkown,Action & Adventure,815403010811,36217,Unkown,https://www.pricecharting.com/game/nintendo-3ds/barbie-and-her-sisters-puppy-rescue
nintendo-3ds,Barbie: Dreamhouse Party,2013-11-12,Everyone,Majesco,Unkown,Action & Adventure,815403010309,34590,Unkown,https://www.pricecharting.com/game/nintendo-3ds/barbie-dreamhouse-party
nintendo-3ds,Barbie: Groom and Glam Pups,2013-08-15,Everyone,Little Orbit,Mattel,Action & Adventure,815403010354,58166,"Barbie™ Groom and Glam Pups™ is a virtual pet game in which players groom, train, dress and show puppies in a high fashion game environment under the watchful eye of their in-game mentor, Barbie. The game features six available breeds of dog in puppy form selected for use in the game based on their popularity and dramatic styling potential.",https://www.pricecharting.com/game/nintendo-3ds/barbie-groom-and-glam-pups
nintendo-3ds,Batman: Arkham Origins Blackgate,2013-10-25,Teen,Warner Bros,Armature Studio,Action & Adventure,883929319671,34462,Unkown,https://www.pricecharting.com/game/nintendo-3ds/batman-arkham-origins-blackgate
nintendo-3ds,Battleship,2012-05-15,Everyone 10+,Activision,Unkown,Action & Adventure,047875769205,32739,Unkown,https://www.pricecharting.com/game/nintendo-3ds/battleship
nintendo-3ds,Ben 10: Galactic Racing,2011-10-25,Everyone,D3 Publisher,Unkown,Racing,879278360020,31840,Unkown,https://www.pricecharting.com/game/nintendo-3ds/ben-10-galactic-racing
nintendo-3ds,Ben 10: Omniverse,2012-11-13,Everyone 10+,D3 Publisher,Unkown,Action & Adventure,879278360068,33313,Unkown,https://www.pricecharting.com/game/nintendo-3ds/ben-10-omniverse
nintendo-3ds,Ben 10: Omniverse 2,2013-11-05,Everyone 10+,Unkown,Unkown,Action & Adventure,879278006133,34505,Unkown,https://www.pricecharting.com/game/nintendo-3ds/ben-10-omniverse-2
nintendo-3ds,Beyblade: Evolution,2013-10-22,Everyone,Unkown,Unkown,Action & Adventure,887195000165,34482,Unkown,https://www.pricecharting.com/game/nintendo-3ds/beyblade-evolution
nintendo-3ds,Beyblade: Evolution Collector's Edition,2013-10-29,Everyone,Rising Star Games,Unkown,Action & Adventure,887195000158,34483,Unkown,https://www.pricecharting.com/game/nintendo-3ds/beyblade-evolution-collector%27s-edition
nintendo-3ds,Big Hero 6: Battle in the Bay,2014-10-28,Rating Pending,Game Mill,Unkown,Action & Adventure,834656090241,35609,Unkown,https://www.pricecharting.com/game/nintendo-3ds/big-hero-6-battle-in-the-bay
nintendo-3ds,Bit.Trip Saga,2011-09-13,Everyone,Aksys,Rising Star Games,Action & Adventure,893610001464,31710,Unkown,https://www.pricecharting.com/game/nintendo-3ds/bittrip-saga
nintendo-3ds,BlazBlue: Continuum Shift II,2011-05-31,Teen,Aksys,Unkown,RPG,893610001471,31447,Unkown,https://www.pricecharting.com/game/nintendo-3ds/blazblue-continuum-shift-ii
nintendo-3ds,Boulder Dash-XL 3D,2012-09-25,Everyone,GMG Play,Ludosity,Action & Adventure,857398003003,35828,Unkown,https://www.pricecharting.com/game/nintendo-3ds/boulder-dash-xl-3d
nintendo-3ds,Brain Age: Concentration Training,2013-02-10,Everyone,Nintendo,Nintendo SPD,Other,045496742232,33841,Unkown,https://www.pricecharting.com/game/nintendo-3ds/brain-age-concentration-training
nintendo-3ds,Bratz Fashion Boutique,2012-10-30,Everyone,Activision,Unkown,Simulation,047875767164,33234,Unkown,https://www.pricecharting.com/game/nintendo-3ds/bratz-fashion-boutique
nintendo-3ds,Bravely Default,2014-02-07,Teen,Nintendo,Square Enix,RPG,045496742652,34665,Unkown,https://www.pricecharting.com/game/nintendo-3ds/bravely-default
