,PC_ID,Title,loose_price,cib_price,new_price
0,18175,5 in 1 Fun Pak,6.56,23.38,42.00
1,18176,Addams Family,17.99,98.33,177.00
2,18177,Adventures of Batman and Robin,14.28,101.35,183.55
3,18178,Aerial Assault,12.29,52.11,160.99
4,18179,Aladdin,8.79,15.00,19.99
5,18180,Alien 3,15.92,41.15,74.00
6,18182,Andre Agassi Tennis,16.22,32.39,47.73
7,18183,Arcade Classics,12.83,67.38,557.50
8,18184,Arch Rivals,6.00,99.99,180.00
9,15040,Arena Maze of Death,69.99,160.56,289.00
10,18185,Ariel the Little Mermaid,8.14,51.99,94.00
11,18186,Asterix and the Great Rescue,9.69,92.99,167.00
12,18188,Ax Battler a Legend of Golden Axe,21.23,57.52,236.22
13,18189,Baku Baku,17.04,30.53,55.00
14,18192,Batman Forever,8.91,90.00,162.00
15,18193,Batman Returns,10.36,38.93,70.00
16,18194,Batter Up,8.39,31.92,153.50
17,18195,Battleship,9.99,621.98,503.00
18,18196,Battletoads,33.99,327.50,590.00
19,18197,Beavis and Butthead,17.37,75.56,136.00
20,18198,Berenstain Bears Camping Adventures,12.27,102.79,185.00
21,18199,Bonkers Wax Up,6.70,27.78,50.00
22,18200,Bram Stoker's Dracula,13.71,65.80,118.00
23,18201,Bubble Bobble,47.99,308.43,611.00
24,18203,Bugs Bunny Double Trouble,6.83,20.61,46.71
25,18204,Bust a Move,12.99,41.04,74.99
26,18206,Caesar's Palace,3.53,6.99,9.40
27,18207,Captain America and the Avengers,27.46,119.99,"1,665.00"
28,35636,Casino Fun Pak,22.49,55.97,101.00
29,18208,Castle of Illusion,11.49,28.89,52.00
30,18209,Chakan,10.48,46.65,84.00
31,18210,Chase HQ,13.88,24.00,49.99
32,18211,Cheese Cat-Astrophe Starring Speedy Gonzales,13.05,27.99,50.00
33,18212,Chessmaster,6.16,24.99,45.00
34,18213,Chicago Syndicate,11.30,69.75,95.84
35,18214,Choplifter III,16.91,41.45,93.50
36,18215,Chuck Rock,6.92,27.42,49.00
37,18216,Chuck Rock II Son of Chuck,10.20,39.99,45.00
38,65277,CJ Elephant Fugitive,99.99,751.32,"1,352.00"
39,18217,Cliffhanger,15.24,98.75,338.87
40,18218,Clutch Hitter,4.00,14.60,71.37
41,18220,Columns,2.50,12.65,23.00
42,18222,Cool Spot,11.07,27.95,50.00
43,18223,Cosmic Spacehead,154.50,529.81,954.00
44,18224,Crystal Warriors,40.00,266.68,480.00
45,18225,Cutthroat Island,8.99,95.00,171.00
46,15669,Deep Duck Trouble,10.00,24.14,44.00
47,18227,Defenders of Oasis,47.50,102.50,185.00
48,18228,Desert Speedtrap Starring Road Runner and Wile E Coyote,7.51,25.01,45.00
49,18229,Desert Strike Return to the Gulf,12.55,65.29,233.00
50,18230,Devilish,23.00,257.78,464.00
51,18232,Double Dragon,27.62,69.95,126.00
52,18233,Dr Robotnik's Mean Bean Machine,17.48,79.95,199.95
53,18234,Dragon Crystal,19.99,71.46,129.00
54,18235,Dragon: The Bruce Lee Story,11.82,36.33,52.40
55,18237,Dynamite Headdy,14.50,65.33,102.62
56,18238,Earthworm Jim,40.61,132.19,"1,199.99"
57,18239,Ecco the Dolphin,6.10,15.00,70.00
58,18240,Ecco the Tides of Time,4.25,27.65,57.79
59,18243,Evander Holyfield's Real Deal Boxing,5.81,26.41,40.50
60,18245,F-15 Strike Eagle,12.71,17.06,199.99
61,18248,Fantastic Dizzy,139.00,165.78,"4,770.82"
62,18249,Fantasy Zone,27.58,53.07,163.33
63,18250,Fatal Fury Special,49.42,56.15,101.00
64,18251,FIFA International Soccer,4.75,6.90,12.00
65,18252,FIFA Soccer 96,10.36,162.27,243.12
66,18253,Foreman for Real,5.61,7.03,55.68
67,18254,Formula 1,11.00,35.00,63.00
68,34170,Frank Thomas Big Hurt Baseball,8.08,23.33,42.00
69,18255,Fred Couples Golf,3.24,14.48,23.03
70,18262,G-LOC Air Battle,6.34,18.50,33.00
71,18257,Garfield Caught in the Act,11.74,61.52,151.85
72,18259,Gear Works,14.99,98.01,149.42
73,18260,George Foreman's KO Boxing,2.50,15.00,21.74
74,18263,GP Rider,7.69,18.05,130.00
75,18264,Greendog the Beached Surfer Dude,11.25,20.00,36.00
76,18266,Halley Wars,26.76,114.50,206.00
77,18267,Home Alone,11.82,63.35,114.00
78,18268,Hook,19.99,57.95,104.00
79,18271,Incredible Crash Dummies,11.95,65.00,117.00
80,18272,Incredible Hulk,11.43,38.89,70.00
81,18273,Indiana Jones and the Last Crusade,17.50,136.93,474.98
82,18274,Iron Man X-O Manowar in Heavy Metal,24.98,119.99,228.76
83,18275,Itchy and Scratchy Game,20.63,69.80,341.34
84,18277,James Pond 2 Codename Robocod,13.20,31.95,58.00
85,18278,Jeopardy,8.55,35.60,64.00
86,18279,Jeopardy Sports Edition,5.66,21.80,68.16
87,18282,Joe Montana Football,3.78,16.74,41.67
88,18283,Judge Dredd,9.99,14.99,106.30
89,18284,Junction,10.99,113.37,204.00
90,18285,Jungle Book,6.70,11.14,14.72
91,18286,Jungle Strike,30.75,326.11,587.00
92,18287,Jurassic Park,12.99,30.84,69.00
93,18288,Kawasaki Superbikes,22.72,"1,200.00","2,160.00"
94,18291,Klax,9.97,22.47,93.18
95,18292,Krusty's Fun House,19.39,162.23,292.00
96,34796,Land of Illusion,16.59,44.82,81.00
97,18293,Last Action Hero,24.10,95.15,200.00
98,18294,Legend of Illusion Starring Mickey Mouse,17.98,68.33,484.69
99,18295,Lemmings,9.99,19.99,109.87
100,18296,Lost World Jurassic Park,33.67,34.30,53.55
101,18231,Lucky Dime Caper Starring Donald Duck,15.00,48.00,169.50
102,18298,Madden 95,3.87,14.61,22.50
103,18299,Madden 96,8.16,11.99,51.50
104,18302,Majors Pro Baseball,2.52,17.50,32.00
105,18304,Marble Madness,19.31,44.64,80.00
106,18306,Mega Man,228.73,"1,600.00","2,880.00"
107,18310,Mickey's Ultimate Challenge,18.70,94.93,99.99
108,18311,Micro Machines,43.99,177.50,320.00
109,18313,Mighty Morphin Power Rangers,9.99,29.74,99.99
110,18314,Mighty Morphin Power Rangers The Movie,11.97,34.99,97.50
111,18315,MLBPA Baseball,6.02,17.05,35.39
112,18316,Monster Truck Wars,5.67,19.45,35.00
113,18317,Mortal Kombat,9.60,39.31,71.00
114,18319,Mortal Kombat II,11.27,41.08,105.51
115,18320,Ms Pac Man,6.22,14.99,21.49
116,18321,NBA Action,4.20,15.98,24.95
117,18322,NBA Jam,5.97,20.02,121.37
118,18323,NBA Jam Tournament Edition,7.52,14.97,55.99
119,18324,NFL 95,2.66,7.51,7.47
120,18325,NFL Quarterback Club 95,4.44,11.09,19.97
121,18326,NFL Quarterback Club 96,4.93,11.16,19.98
122,18327,NHL All-Star Hockey,5.32,8.46,25.00
123,18328,NHL Hockey,7.41,28.61,27.99
124,18329,Ninja Gaiden,24.10,141.80,865.90
125,18332,Olympic Gold Barcelona 92,5.92,64.34,116.00
126,18335,Outrun Europa,14.21,46.00,83.00
127,18336,Pac Attack,9.41,12.00,279.99
128,18337,Pac Man,6.69,22.45,42.85
129,18339,Paperboy,20.58,40.02,118.00
130,18340,Paperboy 2,15.03,130.00,234.00
131,65103,Pete Sampras Tennis,137.30,402.53,725.00
132,18343,PGA Tour 96,6.50,17.00,75.00
