Title,UPC,PC_ID,loose_price,cib_price,new_price
101 In 1: Party Megamix,730865700066,19871,6.69,6.87,9.99
A Boy And His Blob,096427016120,19745,10.89,12.59,42.17
AMF Bowling Pinbusters!,093155126503,10874,5.64,8.7,15.00
Active Life: Extreme Challenge,722674800211,19482,6.99,7.95,22.24
Active Life: Magical Carnival,722674800334,32210,7.0,7.5,12.95
Active Life: Outdoor Challenge,722674800129,14651,6.12,7.03,17.99
Alien Syndrome,010086650044,6783,5.14,6.35,11.48
Animal Kingdom: Wildlife Expedition,719593120087,19640,5.23,6.36,8.99
Arc Rise Fantasia,893384000472,21626,59.0,69.99,111.27
Astro Boy: The Video Game,879278340107,19792,6.23,6.9,16.75
Barbie & Her Sisters: Puppy Rescue,815403010828,36213,7.49,13.49,29.53
Barbie As The Island Princess,047875754058,10346,5.28,6.2,15.00
Barbie Horse adventures riding camp,047875756953,15779,7.91,9.97,18.00
Baroque,730865700042,16424,19.09,21.53,42.99
Battalion Wars 2,045496900250,10347,10.85,12.0,37.67
Big Brain Academy: Wii Degree,041496900115,6785,5.01,5.59,11.76
Big Brain Academy: Wii Degree,045496900175,,,,
Bigfoot: Collision Course,802068101596,16414,5.64,5.66,11.23
"BlastWorks: Build, Trade, Destroy",096427014959,11356,5.75,5.94,10.97
Bleach: Shattered Blade,010086650068,8621,6.64,10.22,33.50
Calling,083717400936,21051,47.58,50.0,72.91
Calvin Tucker’s Redneck Jamboree,802068101756,16081,4.59,5.82,12.16
Candace Kane’s Candy Factory,828068212339,16165,3.11,4.31,9.58
Castlevania: Judgment,083717400776,16019,15.92,17.47,27.20
Centipede: Infestation,742725281936,31886,9.37,10.64,14.36
Champion Jockey: G1 Jockey And Gallop Racer,040198002196,31880,16.99,22.09,44.00
Chaotic Shadow Warriors,047875760615,21620,3.51,7.06,19.99
City Builder,814290010201,21367,5.49,7.79,13.69
Cocoto Magic Circus,815315000719,14487,5.22,6.46,6.95
Conduit 2: Limited Edition,010086650471,31344,20.8,40.0,57.71
Counter Force,815315000467,8766,4.5,6.45,6.93
Crayola: Colorful Journey,650008500455,22155,4.54,4.9,9.84
Crazy Mini Golf 2,890219002205,21634,6.66,7.71,15.00
Cruise Ship Vacation Games,047875759213,19559,4.72,6.33,9.39
Cursed Mountain,895678002148,19511,16.94,16.99,31.03
Cyberbike: Cycling Sports,093992093815,36666,99.99,217.95,436.00
Dead Space: Extraction,014633192087,19668,21.06,22.1,56.43
Deadrising : Chop Till You Drop,013388350100,16313,8.55,9.19,21.19
Death Jr: Root of Evil,788687300124,13815,9.95,13.76,27.33
Deca Sports Nintendo Wii,083717400615,14262,5.99,6.68,15.00
Destroy All Humans: Big Willy Unleashed,785138301365,11881,5.39,6.86,19.99
Dewy’s Adventure,083717400554,7305,7.18,9.92,21.58
Dokapon Kingdom,730865700059,15727,59.73,75.57,169.15
Domino Rally,695771900545,20386,5.97,6.3,14.74
Don King Boxing,710425343650,17473,6.32,8.57,16.33
Donkey Kong Country Returns,045496902001,30775,13.98,14.71,37.43
Dragon Ball Z: Budokai Tenkaichi 3,742725275584,10876,40.32,46.0,150.00
Dragon Ball Z: Budokai Tenkaichi 3,742725275942,4687188,,,
Dragon Blade: Wrath of Fire,879278340015,8863,5.95,6.79,14.95
Dragon Quest Swords: The Masked Queen And The Tower Of Mirrors,662248907208,12099,11.99,18.61,36.76
Dream Pinball 3D,612561100060,13145,5.62,6.99,8.68
Elebits,083717400516,7321,7.49,7.87,21.78
Emergency Mayhem,767649401437,13222,6.56,6.74,11.61
