,PC_ID,Title,loose_price,cib_price,new_price
0,30613,007 GoldenEye,9.56,10.78,37.50
1,30614,007 GoldenEye [Gold Controller Bundle],26.11,40.72,60.79
2,4895296,007 GoldenEye [Walmart Gold Controller Bundle],,,
3,15891,007 Quantum of Solace,5.03,6.00,15.00
4,21574,10 Minute Solution,5.45,5.92,9.91
5,19871,101-in-1 Party Megamix,6.69,6.87,9.99
6,30857,101-in-1 Sports Party Megamix,6.58,7.95,98.70
7,30953,2 for 1 Power Pack Kawasaki Jet Ski & Summer Sports 2,21.97,24.99,134.63
8,39980,2 for 1 Power Pack Winter Blast & Summer Sports 2,31.46,40.89,49.99
9,45786,2 for 1 Power Pack WWII Aces & Indianapolis 500 Legends,53.52,74.58,149.00
10,21257,2010 FIFA World Cup South Africa,5.66,6.22,16.40
11,19745,A Boy and His Blob,10.89,12.59,42.17
12,32249,Abba You Can Dance,8.86,9.99,20.10
13,19931,Academy of Champions Soccer,6.71,6.99,9.52
14,4895097,AC/DC Live: Rock Band Fan Pack,,,
15,16182,AC/DC Live Rock Band Track Pack,5.02,5.45,11.22
16,14406,Action Girlz Racing,5.60,6.22,8.98
17,30335,Active Life: Explorer,7.99,9.24,26.62
18,19482,Active Life: Extreme Challenge,6.99,7.95,22.24
19,32210,Active Life Magical Carnival,7.00,7.50,12.95
20,32211,Active Life Magical Carnival with Mat,14.23,18.50,37.00
21,14651,Active Life Outdoor Challenge,6.12,7.03,17.99
22,32376,Adventures of Tintin: The Game,4.81,4.94,13.95
23,10343,Agatha Christie And Then There Were None,6.61,7.99,14.60
24,16031,Agatha Christie Evil Under the Sun,10.14,11.89,21.24
25,3872212,AJ & Aly Guitar,,,
26,31381,Aladdin Magic Racer,16.33,19.67,31.56
27,21007,Alice in Wonderland: The Movie,3.48,6.25,14.95
28,21658,Alien Monster Bowling League,6.48,9.84,19.99
29,6783,Alien Syndrome,5.14,6.35,11.48
30,21649,Aliens in the Attic,5.23,6.97,14.00
31,15828,All-Star Cheer Squad,2.24,5.50,11.00
32,19872,All Star Cheer Squad 2,3.65,5.91,8.41
33,21194,All-Star Karate,4.84,6.87,16.00
34,13984,Alone in the Dark,5.52,8.44,9.40
35,4556185,Alone in the Dark [Soundtrack Edition],10.51,13.66,27.00
36,32251,Alvin & Chipmunks: Chipwrecked,4.70,6.99,10.76
37,10873,Alvin And The Chipmunks The Game,3.50,4.97,7.00
38,20065,Alvin and The Chipmunks: The Squeakquel,6.29,6.66,9.88
39,32876,Amazing Spiderman,10.59,11.10,20.77
40,21523,America's Next Top Model,7.00,7.32,15.91
41,33394,American Mensa Academy,88.90,100.00,200.05
42,10874,AMF Bowling Pinbusters,5.64,8.70,15.00
43,16032,AMF Bowling World Lanes,6.50,8.37,16.00
44,34471,Angry Birds Star Wars,4.97,5.88,10.15
45,34158,Angry Birds Trilogy,12.34,12.83,28.66
46,16017,Animal Crossing City Folk,14.95,16.24,41.77
47,32648,Animal Crossing City Folk [Nintendo Selects],14.84,15.11,50.66
48,16018,Animal Crossing City Folk [Wii Speak Bundle],20.85,30.49,72.07
49,19640,Animal Kingdom: Wildlife Expedition,5.23,6.36,8.99
50,21654,Animal Planet: Vet Life,5.36,6.97,20.50
51,7268,Ant Bully,4.28,5.61,13.57
52,10709,Anubis II,3.17,3.79,9.99
53,21629,Aqua Panic,10.60,16.61,53.05
54,21626,Arc Rise Fantasia,59.00,69.99,111.27
55,19963,Arcade Shooting Gallery,6.25,6.56,12.21
56,30890,Arcade Shooting Gallery Bundle,11.54,15.00,30.00
