,PC_ID,Title,loose_price,cib_price,new_price
0,12168,10-Yard Fight,6.83,67.36,269.00
1,37965,10-Yard Fight [5 Screw],7.29,64.84,259.00
2,12169,1942,14.97,63.50,467.11
3,37996,1942 [5 Screw],16.99,62.00,248.00
4,12170,1943: The Battle of Midway,15.89,70.00,280.00
5,8445,3D WorldRunner,9.42,49.99,115.76
6,38021,3D WorldRunner [5 Screw],11.99,82.55,330.00
7,12171,720,6.23,29.99,290.00
8,4621203,8-Bit Xmas 2022 [Homebrew],,,
9,12172,8 Eyes,13.93,51.00,278.42
10,3343493,8Bit Music Power [Collector's Edition],,,
11,3343494,8Bit Music Power Final [Collector's Edition],,,349.99
12,3001666,8Bit Music Power Final [Homebrew],,,120.00
13,3001664,8Bit Music Power [Homebrew],179.90,,80.48
14,5407899,A Boy and His Blob Trouble in Blobolonia [Limited Run],,,
15,12173,A Boy and His Blob Trouble on Blobolonia,13.24,65.74,392.00
16,5769170,A Boy and His Blob: Trouble on Blobolonia [Limited Run Collector's Edition],,139.95,
17,12174,A Nightmare on Elm Street,58.99,335.00,458.23
18,8451,Abadox,11.87,50.89,146.75
19,8453,Action 52,283.34,562.63,"1,999.77"
20,8455,Addams Family,24.10,81.95,699.35
21,8456,Addams Family Pugsley's Scavenger Hunt,70.35,235.00,268.11
22,8458,Advanced Dungeons & Dragons Dragon Strike,81.50,165.18,661.00
23,8459,Advanced Dungeons & Dragons Heroes of the Lance,19.31,60.77,243.00
24,8460,Advanced Dungeons & Dragons Hillsfar,222.29,375.00,314.00
25,8462,Advanced Dungeons & Dragons Pool of Radiance,48.25,133.29,270.69
26,8464,Adventure Island,12.86,64.65,415.00
27,12176,Adventure Island 3,70.00,200.00,499.99
28,2585574,Adventure Island 4 [Homebrew],59.87,61.70,200.00
29,8465,Adventure Island II,27.32,75.71,476.76
30,8466,Adventures in the Magic Kingdom,9.84,37.74,301.02
31,8468,Adventures of Bayou Billy,4.65,35.67,204.00
32,12175,Adventures of Dino Riki,9.20,42.71,238.19
33,11979,Adventures of Lolo,12.53,71.72,287.00
34,11980,Adventures of Lolo 2,39.99,134.75,441.48
35,8469,Adventures of Lolo 3,65.69,199.51,555.18
36,12377,Adventures of Rad Gravity,26.26,89.97,360.00
37,8472,Adventures of Tom Sawyer,12.83,49.08,196.00
38,12177,After Burner,11.29,42.51,170.00
39,8488,Air Fortress,10.00,32.21,76.00
40,2585575,Airball [Homebrew],,150.00,249.00
41,5151410,Airball [RetroRoomGames],,,
42,12178,Airwolf,6.92,29.99,155.04
43,8491,Al Unser Jr. Turbo Racing,6.23,21.99,88.00
44,67580,Alfonzo's Arctic Adventure [Homebrew],,,58.99
45,8493,Alfred Chicken,112.00,462.00,"1,848.00"
46,8495,Alien 3,30.00,99.85,282.77
47,12179,Alien Syndrome,14.11,35.50,162.18
48,12180,All-Pro Basketball,7.63,42.49,170.00
49,12181,Alpha Mission,7.00,82.60,330.00
50,38035,Alpha Mission [5 Screw],125.25,147.50,590.00
51,3414193,Alwa's Awakening,75.00,85.00,118.99
52,12183,Amagon,10.46,55.33,198.86
53,5528272,Amazon's Training Road [Homebrew],,127.79,129.50
54,8507,American Gladiators,10.00,43.41,174.00
55,2782204,Anguna Scourge of the Goblin King [Homebrew],82.51,,142.48
56,12184,Anticipation,5.09,11.47,90.85
57,12185,Arch Rivals,9.14,53.93,347.19
58,12186,Archon,10.79,47.50,62.20
59,8527,Arkanoid,15.97,200.00,383.72
60,38015,Arkanoid [5 Screw],18.82,120.00,480.00
61,37957,Arkanoid [Controller Bundle],57.46,204.46,399.00
62,16264,Arkista's Ring,60.00,203.13,541.03
63,2165015,Armed for Battle [Homebrew],,111.03,
64,8538,Astyanax,8.14,38.08,249.77
65,12187,Athena,14.99,51.00,394.37
