PC_ID,Loose_Price,CIB_Price,New_Price,Image_URL
18175,8.49,38.13,42.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv961J7nAg9XcoGUlr6gJ79oRKsuw7mRxsr31KPwbzQqrzf2P5mJACw_-_tcdtUHb9nNFTgP3BKCY4JNgpBlHvU19s3itVU31SbBrMSHqLgDYMXxQe1T2tSeedP1mJd80Oq6F0J3198UQPRaJMaYfXjAe8cKQqw/60.jpg
18176,18.08,97.22,175.00,https://commondatastorage.googleapis.com/images.pricecharting.com/a96fd8dc13790c51f17e0ecb06b70e5d1945c5a6ef06eddac69032f2eb11636e/60.jpg
18177,10.00,62.00,103.06,https://commondatastorage.googleapis.com/images.pricecharting.com/81d9874ff845f9bdfbf2ff2ab28cc563bdd43ae9a1c492bfad499ce2af6b9f19/60.jpg
18178,11.00,54.51,160.99,https://commondatastorage.googleapis.com/images.pricecharting.com/47ad6e5fac8615d9096c2d18caeeb32c328371dd5a980c5c02eee5f1e4f2bda5/60.jpg
18179,6.74,15.42,20.49,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv941ApL9xl5AfXN5KflRTbbcEb2vI-coTUgmNf3j5gZZCO_GCTt6rp1DrOHQWVPU6LUi5RcNGuV8NmfmUzoJeDKCFuT7ITpX86tjrGLn4eU4vqo8-xakjbZrEdoR9R250z9nrw9GnrrfsCGR_79kvBvC1teX6A/60.jpg
18180,17.61,41.12,74.00,https://commondatastorage.googleapis.com/images.pricecharting.com/10252b8b84da04ba05a7a2c74b880526321c6a478c736f3ce8d8f81fc9cc3a1c/60.jpg
18182,20.69,32.39,47.50,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94mpba15xrwxoGHbUYEXAkhvzNPW6R7NfeepZIqH80a1Sf1IEsVgWxFKjMhRja5qXKuYrJaYEpXRqQ1uorzKbbRJtJa84eaN13JrabmX1t_eUlFHpwBqoHMVZNrxca64jL1wn-6YNjBO0MP029Ykdhs7Gv6QQ/60.jpg
18183,12.16,67.27,557.50,https://commondatastorage.googleapis.com/images.pricecharting.com/5b0247a73b8848b819959b13d04f3066cd9342d185d481fe7964630fc1746c47/60.jpg
18184,7.35,99.99,180.00,https://commondatastorage.googleapis.com/images.pricecharting.com/11b8369c1250eb88d4542bb1cce84758cb9dc7b7e8089980985bb91176b31c81/60.jpg
15040,69.99,155.14,279.00,https://commondatastorage.googleapis.com/images.pricecharting.com/36cab3f0c7b364d2ae727832a4f6acb5daad2cfe8d36ce602e069af411e22f6f/60.jpg
18185,7.67,52.22,94.00,https://commondatastorage.googleapis.com/images.pricecharting.com/9bc69f5d529df788f5ea58b3d44f1ea8b8c98ffda0f722b56d649236a4367268/60.jpg
18186,9.39,92.78,167.00,https://commondatastorage.googleapis.com/images.pricecharting.com/12671b302a66bd92e5217cc69f01d51c4ce506702aad229429f43b82f308a809/60.jpg
18188,22.20,69.99,236.22,https://commondatastorage.googleapis.com/images.pricecharting.com/9bdda3d87e1998578d4c1e38630aff5134a811fcc4a5b5023a50fa83c857ca32/60.jpg
