Title,UPC,PriceCharting_ID,loose_price,cib_price,new_price
101 In 1: Party Megamix,730865700066,19871,5.85,6.55,9.99
A Boy And His Blob,096427016120,19745,11.97,15.43,42.73
AMF Bowling Pinbusters!,093155126503,10874,6.94,7.89,14.99
Active Life: Extreme Challenge,722674800211,19482,6.62,7.95,21.19
Active Life: Magical Carnival,722674800334,32210,7.0,7.43,12.95
Active Life: Outdoor Challenge,722674800129,14651,6.44,7.07,19.99
Alien Syndrome,010086650044,6783,5.14,5.99,11.04
Animal Kingdom: Wildlife Expedition,719593120087,,,,
Arc Rise Fantasia,893384000472,21626,59.0,67.47,111.26
Astro Boy: The Video Game,879278340107,19792,6.23,6.88,16.71
Barbie & Her Sisters: Puppy Rescue,815403010828,36213,9.55,13.59,29.73
Barbie As The Island Princess,047875754058,10346,6.29,6.38,15.0
Barbie Horse adventures riding camp,047875756953,15779,8.79,11.19,18.0
Baroque,730865700042,16424,18.95,24.45,42.99
Battalion Wars 2,045496900250,10347,10.23,12.67,37.96
Big Brain Academy: Wii Degree,041496900115,,,,
Big Brain Academy: Wii Degree,045496900175,6785,4.95,5.2,11.48
Bigfoot: Collision Course,802068101596,16414,5.65,5.66,11.56
"BlastWorks: Build, Trade, Destroy",096427014959,11356,5.36,6.97,10.98
Bleach: Shattered Blade,010086650068,8621,7.35,11.13,37.5
Calling,083717400936,21051,51.6,53.81,73.86
Calvin Tucker’s Redneck Jamboree,802068101756,16081,4.61,5.13,12.64
Candace Kane’s Candy Factory,828068212339,16165,2.99,4.27,9.58
Castlevania: Judgment,083717400776,16019,14.9,16.33,27.23
Centipede: Infestation,742725281936,31886,9.71,9.72,13.94
Champion Jockey: G1 Jockey And Gallop Racer,040198002196,31880,16.99,22.09,44.0
Chaotic Shadow Warriors,047875760615,21620,3.56,4.99,16.13
City Builder,814290010201,21367,5.5,7.83,13.69
Cocoto Magic Circus,815315000719,14487,5.24,6.42,6.95
Conduit 2: Limited Edition,010086650471,,,,
Counter Force,815315000467,8766,4.5,6.41,6.86
Crayola: Colorful Journey,650008500455,22155,4.56,4.69,9.86
Crazy Mini Golf 2,890219002205,21634,7.71,7.76,15.0
Cruise Ship Vacation Games,047875759213,19559,4.72,6.42,9.4
