Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
gameboy,007 James Bond,2/9/1998,Everyone,Nintendo,Saffire,Action & Adventure,045496730642,2888,"An arms smuggling ring threatens to create a new world order. The peace and security of the entire planet is at stake. MI6 sent agent 008 into Turkey to dismantle the operation. Soon thereafter, all contact was lost with 008. M makes a decision to send their best agent, James Bond, to investigate the whereabouts of 008. As Bond carries out this latest order, he becomes entangled in his deadliest mission yet.
As James Bond, you must use all of your expertise to unravel the sinister plot. It is up to you to determine friend from foe as you uncover clues. Along the way, weapons and items will be found that assist you in overcoming the many obstacles placed in your path. Be sure to keep an eye open for Q and his unique brand of help. Be careful, Bond, you may not be able to charm everyone.",https://www.pricecharting.com/game/gameboy/007-james-bond
gameboy,2 In 1: Flying Warriors / Fighting Simulator,4/1/1992,Unkown,Culture Brain,Culture Brain,Other,047743910098,31328,"Available for the 1st.time on the Game Boy! 2 Games in 1, this is one of the most powerful vs tournament game ever made! 
*Fight simulator mode – There are 7 different contact sport to choose from in this game pack, including Kung-Fu, wrestling and boxing. Choose your favorite sport and play for the World Championship! By using the Game Link feature, you can enjoy a vs tournament with your friends. Fierce fights for the title of the strongest in the world begin now!
*Flying Warriors action game mode – Besides a fighting simulator mode, there is a scroll action game too. Our superhero Rick, fights against a mysterious enemy, the Dark Dragon. Fight through the numerous formidable enemies and traps and get the legendary treasure back from evil’s hand.",https://www.pricecharting.com/game/gameboy/2-in-1-flying-warriors-fighting-simulator
gameboy,4 in 1 Fun Pak,12/1/1992,Everyone,Imagineer,Unkown,Other,040421810031,13259,Unkown,https://www.pricecharting.com/game/gameboy/4-in-1-fun-pak
gameboy,4 in 1 Funpak Volume II,8/1/1993,Everyone,Imagineer,Unkown,Other,040421810123,13260,Unkown,https://www.pricecharting.com/game/gameboy/4-in-1-funpak-volume-ii
gameboy,Addams Family,1/1/1992,Everyone,Ocean Software,Ocean Software,Platformer,020295020064,13461,"THE ADDAMS FAMILY has been evicted! To save their home from Tully Alford, the family attorney, who is after the family fortune - Morticia, Lurch, Granny, Pugsley and Wednesday have gone to the house to reason with him. But when Gomez arrives, his family is missing! As Gomez, you must save your loved ones, your home and your loads of wealth. Freeing your family will take money, bags and bags of it; but fortunately, you'll find stashes of cash hidden all over the house. You'll have to watch out for scary obstacles like falling spikes, frightening monsters and ghosts. You'll need to look for clues and slove many mysterious puzzles as you search for your family. You may even need someThing to help you - but you'll have to find him first! Get a move on... 'cause you're gonna make a call on THE ADDAMS FAMILY!",https://www.pricecharting.com/game/gameboy/addams-family
gameboy,Addams Family Pugsley's Scavenger Hunt,7/1/1993,Everyone,Ocean Software,Ocean Software,Action & Adventure,020295020101,13462,"As if things weren't ooky enough! Wednesday has devised a simply torturous game which will drive her darling wretched brother, Pugsley, to happiness. How absolutely delicious! She has hidden six wonderfully strange items somewhere about the Addams Family Mansion. Now, you must guide poor Pugsley on his quest to uncover them.",https://www.pricecharting.com/game/gameboy/addams-family-pugsley%27s-scavenger-hunt
gameboy,Adventure Island,2/1/1992,Everyone,Hudson Soft,Hudson Soft,Platformer,039854000157,7259,"Master the Islands! Master Higgins is back! Help him search through several uncharted islands for the missing Princess Tina! Grab a skateboard and thrash across savage lands filled with spiders, cobras, skeletons and more! Crack open monster eggs to free your dinosaur buddies- they'll give you a wild ride! You'll explore the center of menacing volcanoes, dive deep into subterranean lakes and take to the skies on your quest. But look out for the hungry guardians of the untamed islands- they're waiting to make Master Higgins their next meal! Your search for Princess Tina will be an adventure of a lifetime! *Find hidden eggs for fast shortcuts and bonus items! *Spectacular graphics and excellent game play highlight the action!",https://www.pricecharting.com/game/gameboy/adventure-island
gameboy,Adventure Island II,2/1/1992,Everyone,Hudson Soft,Now Production,Platformer,039854000218,7260,"Jeannie Jungle is Kidnapped! A mysterious flying saucer just made off with Master Higgins' girlfriend and it's up to him to save her! But first he must defeat scores of mutated monsters across eight uncharted islands! Battle your way through all new dangers and challenges on the biggest Adventure Island yet! Find secret treasure chambers, surf through killer waves and grab all the bonus items you can handle as you master each realm! Action, adventure and more await you in this thrilling addition to the Adventure Island saga! *A new dinosaur friend joins Master Higgins' team of wild reptiles! *Collect Power Crystals to gain temporary invulnerability!",https://www.pricecharting.com/game/gameboy/adventure-island-ii
gameboy,Adventures of Star Saver,3/1/1992,Unkown,Taito Corporation,A-Wave,Platformer,020588010475,13263,"An alien invasion force has attacked Earth and kidnapped Kevin and his sister! After refusing to become a spy for them, Kevin is blown out of the alien spaceship. But a telepathic robot rescues him, and together they decide to take on the aliens single-handed. Kevin must learn how to use space-age weaponry and a special robotic suit on his mission to infiltrate the alien headquarters. Only there does he stand a chance of stopping the invasion and bringing his sister home alive!",https://www.pricecharting.com/game/gameboy/adventures-of-star-saver
gameboy,Aerostar,9/1/1991,Everyone,Vic Tokai,Vic Tokai,Shoot'em Up,034912784673,13264,"World War VI left the Earth desolate and uninhabitable. Many years later, the Intergalactic Council discovered the Earth could once again be populated, and people returned to rebuild their lives. Unknown to them, mutant forces ad gone undetected, and are now wrecking havoc on the defenseless humans. Fearing the total extermination of the Earth, the Intergalactic Council has deployed AEROSTAR, the most powerful fighter ever built. This state-of-the-art vehicle of destruction is Earth's only hope for salvation, but is useless without the right pilot....",https://www.pricecharting.com/game/gameboy/aerostar
gameboy,Aladdin,11/11/1993,Unkown,Virgin interactive,NMS Software,Action & Adventure,052145810136,18572,"Hang onto your magic carpet for action and fun! Aladdin must slash his nighty scimitar to fight and dash through the city of Agrabah, escape the Sultan's dungeon, survive the fiery Cave of Wonders, snatch the Genie's Lamp and save Princess Jasmine from the evil Jafar in the most magical desert adventure of all time! *Nine levels of magical adventure filled with desert warriors, spitting camels and flying carpets. *Hilarious fun with pants-dropping Palace Guards and dirtwad-spitting camels. *One exciting bonus round that takes you deep into the Genie's magical lamp. *Academy Award winning music straight from the movie with favorites like A WHOLE NEW WORLD and FRIEND LIKE ME. *Super Game Boy compatibility means Aladdin's entire adventure, from the market at Agrabah to the interior of Jafar's evil palace, is gorgeously color-enhanced.",https://www.pricecharting.com/game/gameboy/aladdin
gameboy,Alfred Chicken,2/1/1994,Everyone,Mindscape,Twilight,Platformer,050047113744,2737,"Super-Hero with a Bionic Beak! Whoa... Alfred needs your help! The Evil Meka-Chickens have raided the hen house and stolen Alfred's chick, Floella, and all the little egg-a-roonies! Now, these turkeys say they'll scramble the eggs. It's nothing to crow about! An egg-xasperated Alfred Chicken struts off to pluck his loved ones from the dangers of the Meta-Chickens' world. Remember, while Alfred is a Super-Hero wannabe, he's still a ruffled-feather chicken... you gotta help! *Egg-splore way out worlds and warp space *Fight fowl feasting fiends *Find fine feathered friends *Make Meka-Chickens mincemeat - After you play this game, who you think is Chicken: will never be the same.",https://www.pricecharting.com/game/gameboy/alfred-chicken
gameboy,Alien 3,10/1/1992,Unkown,Acclaim Entertainment,Bits Studios,Action & Adventure,023582058115,34778,"You are Ripley, the sole survivor of the crash landing on Fury 161. Hicks...gone, Newt...gone, Bishop...damaged beyond repair. Somewhere in the intricate maze of air ducts and passageways lurks a Queen Alien. You know what you have to do...end this nightmare! Blast life-sucking face-huggers with your pulse rifle and exterminate deadly aliens with your flame thrower - before The Company rescue mission arrives. Stop the Queen at all costs!!",https://www.pricecharting.com/game/gameboy/alien-3
