Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
gameboy-advance,007 Everything or Nothing,11/1/2003,Teen,Electronic Arts,Griptonite Games,Action & Adventure,014633147179,2162,"Think like Bond, act like Bond, and experience an entirely new Bond adventure. James Bond, the world's greatest secret agent, returns in Everything or Nothing with new guns and gadgets, combat skills, and clever tricks--and it's up to you to put them to good use. Travel through four exciting continents including the Valley of the Kings in Egypt and the French Quarter in New Orleans. The game also features two-player co-op missions and four-player multiplayer arena modes.",https://www.pricecharting.com/game/gameboy-advance/007-everything-or-nothing
gameboy-advance,007 Nightfire,3/1/2003,Teen,Electronic Arts,JV Games,Action & Adventure,014633146226,2418,"The ultimate secret agent is back in his most dangerous adventure yet in James Bond 007: NightFire. Explore new heights and depths like never before -- infiltrate towering skyscrapers, take on treacherous underwater missions, and tackle original missions including assignments in outer space. All this plus glamorous (and sometimes deadly) Bond women, new state-of-the-art gadgets and weapons, and an advanced in-game camera system will leave you shaken and stirred.",https://www.pricecharting.com/game/gameboy-advance/007-nightfire
gameboy-advance,2 Games in 1 Double Pack: SpongeBob,9/8/2006,Everyone,THQ,"Climax Studios, Vicarious Visions ",Compilation,7.85138E+11,16139,"The SpongeBob SquarePants Double Pack features the Revenge of the Flying Dutchman and SuperSponge games for the Game Boy Advance. Now you can either help SpongeBob find lost treasures hidden throughout Bikini Bottom or help him gather celebrity autographs to give to Patrick Star for his birthday. Throughout your adventures, you'll encounter various characters and locations based on the SpongeBob SquarePants animated series.",https://www.pricecharting.com/game/gameboy-advance/2-games-in-1-double-pack-spongebob
gameboy-advance,2006 FIFA World Cup,4/24/2006,Everyone,Electronic Arts,EA Canada,Soccer,014633152029,11066,"2006 FIFA World Cup features 12 official stadiums used at 2006 FIFA World Cup Germany and stadiums from each qualifying region. Gamers can play as their favorite team from qualification right through to a virtual reproduction of the tournament in Germany. With enhanced player animations, EA SPORTS has emulated close to 100 of the world's superstars, capturing their playing styles and individual likenesses. In addition to enabling gamers to participate in the 2006 FIFA World Cup Germany by taking control of one of 127 national teams, the game features new compelling modes of play, including the groundbreaking Global Challenge that tests even the most hardcore soccer fan by recreating classic moments in FIFA World Cup history. Furthermore, the game supports up to eight-way multiplayer matches and features a plethora of in-game unlockable content such as legendary players and exclusive apparel.",https://www.pricecharting.com/game/gameboy-advance/2006-fifa-world-cup
gameboy-advance,3-in-1 Rec Room Challenge,12/12/2005,Everyone,Majesco,Skyworks Technologies,Sports,096427014614,11338,"Now you can challenge yourself with three popular recreational games, all on one Game Pak! Fine-tune your aim in classic dart games, master strikes and spares in Shuffle Bowling and connect with targets in Roll-a-Ball to net the high score!",https://www.pricecharting.com/game/gameboy-advance/3-in-1-rec-room-challenge
gameboy-advance,3-in-1 Sports Pack,12/1/2005,Everyone,Majesco,Skyworks Technologies,Sports,096427014522,11336,"The ultimate handheld sporting experience is here! Hit the lanes with your favorite ball in Big Alley Bowling, lead your team to victory in Dodgeball: Dodge This!, and use your stealth and accuracy to defeat the opposition in Paintball: Splat! Link up with three of your friends to enjoy the action of compete in single player mode to win it all!",https://www.pricecharting.com/game/gameboy-advance/3-in-1-sports-pack
gameboy-advance,3D Pool,11/1/2004,Everyone,Ignition Entertainment,Ignition Entertainment ,Sports,8.93384E+11,1964,"Join world renowned pool game designer Archer Maclean at the table in ARCHER MACLEAN'S 3D POOL for the Game Boy Advance. This virtual pool game by Ignition Entertainment puts players up against 20 different computer adversaries or against other players in a true three dimensional environment. The one-player mode features several different options. Players can select to use either coin-op or professional rules. Both American and UK variations of the game are available as well. A rule editor feature allows players to pick and choose which of the different rules will be in effect for the game. A trick-shot table editor gives players a chance to set trick shot options. Pool fans will be pleased at the game's graphics and smoothness, and while some pool games occasionally defy the laws of physics, ARCHER MACLEAN'S 3D POOL is nearly flawless, perfectly simulating every shot. The free camera can be positioned almost anywhere around the table, letting players find that perfect angle to line up their shots. In addition to the one-player mode, a multiplayer option lets players run a tournament for up to eight players. With this multiplayer feature, the many game options, and the amazing graphics, gamers and pool fans alike will be ready to rack 'em and sink 'em with ARCHER MACLEAN'S 3D POOL.",https://www.pricecharting.com/game/gameboy-advance/3d-pool
gameboy-advance,A Sound of Thunder,2/1/2005,Teen,Bam Entertainment,Mobius Entertainment,Action & Adventure,6.82384E+11,1965,"Based on the Franchise Pictures movie of the same name, A Sound of Thunder takes you to a future where time travel is possible. Things quickly go wrong when someone alters the past, creating a sequence of time ripples that mutate the present-day world. Now you must solve the mystery and sort out a mess that just might mean the end of human existence. You'll solve puzzles, manipulate items, interact with other characters, and eliminate mutant creatures and plants. In addition to a single-player mode, the game features both cooperative and competitive multiplayer modes.",https://www.pricecharting.com/game/gameboy-advance/a-sound-of-thunder
gameboy-advance,Ace Combat Advance,2/23/2005,Everyone,Namco,Human Soft,Action & Adventure,7.22675E+11,10954,"The Ace Combat series makes its debut on the Game Boy Advance with challenging missions, unlockable planes, and free-roaming environments. As the newest pilot in an elite fighter squadron, you must help destroy the Air Strike Force--the military arm of an evil multinational corporation. If you destroy enough enemy planes during your missions, you'll unlock new planes. Fly in air-to-air and air-to-ground missions over arctic, forest, and desert environments. Each environment features destructible buildings and objects.",https://www.pricecharting.com/game/gameboy-advance/ace-combat-advance
gameboy-advance,Activision Anthology,12/9/2003,Everyone,Aspyr,Aspyr,Arcade,6.1887E+11,1967,"Be a flying ace, a race car champion, a tennis star, and a space pioneer all in one afternoon. Activision Anthology lets you go back in time with all your old favorites, including Pitfall 1 and 2, Commando, Freeway, Keystone Kapers, Seaquest, River Raid 1 and 2, and Spider Fighter. Whether it's trying to get Pitfall Harry past the third pit on the right or breaking 15,000 points on River Raid to earn a patch, Activision Anthology is sure to conjure plenty of gaming memories.",https://www.pricecharting.com/game/gameboy-advance/activision-anthology
gameboy-advance,Advance Guardian Heroes,9/14/2004,Everyone,Ubisoft,Treasure,Action & Adventure,008888142096,1968,"Based on the Sega Saturn's Guardian Heroes, Advance Guardian Heroes brings a classic game to life on your Game Boy Advance. Not your ordinary side-scrolling fighter, the game features more than 20 playable characters, 160 powerful moves, and different multiplayer scenarios. Each fighter has unique moves and abilities, which you can upgrade as you progress through the game. Whether you play solo, with friends, or against friends, you can delve into a variety of challenges and battle arenas.",https://www.pricecharting.com/game/gameboy-advance/advance-guardian-heroes
gameboy-advance,Advance Wars,9/9/2001,Everyone,Nintendo,Intelligent Systems,Strategy,045496731458,1969,"Advance Wars is a turn-based strategy video game developed for the Game Boy Advance by Intelligent Systems and published by Nintendo. It was released in North America on September 10, 2001. The game's release in Japan and Europe was delayed, supposedly due to the September 11 attacks in the United States. Although the game was released in Europe in January 2002, neither GBA title was released in Japan until the Game Boy Wars Advance 1+2 compilation in 2004. Advance Wars has been released for the Wii U Virtual Console simultaneously in Europe and North America on April 3, 2014.",https://www.pricecharting.com/game/gameboy-advance/advance-wars
gameboy-advance,Advance Wars 2,6/1/2003,Everyone,Nintendo,Intelligent Systems,Strategy,045496733124,1970,Advance Wars 2: Black Hole Rising is a turn-based strategy video game for the Game Boy Advance. It was developed by Intelligent Systems and published by Nintendo in 2003. It is the second game in the Advance Wars sub-series of Nintendo Wars. It is preceded by Advance Wars and followed by Advance Wars: Dual Strike.,https://www.pricecharting.com/game/gameboy-advance/advance-wars-2
gameboy-advance,Aero the Acro-Bat,5/14/2002,Everyone,Metro 3d,Unkown,Action & Adventure,6.50002E+11,10937,"Aero the Acrobat, the classic Sunsoft game for Super NES, comes to Game Boy Advance! Edgar Ektor (and evil ex-circus clown) has booby-trapped the circus with the help of a crazy flying squirrel named Zero and his fairground henchmen. Only Aero, a master of acrobatics, can diffuse the dangers of the circus and perform various death defying acts to amuse the unsuspecting audience. As the headlining act, Aero will walk tightropes, swing on trapezes, blast out of cannons and plunge off the high dive in order to find Ektor and put a stop to his evil plans.",https://www.pricecharting.com/game/gameboy-advance/aero-the-acro-bat
gameboy-advance,Agassi Tennis Generation,8/1/2003,Everyone,Unkown,Unkown,Sports,6.25904E+11,1971,"Agassi Tennis Generation brings you up close and personal to the biggest stars in tennis. Play as Andre Agassi, or compete against him, as you smash, volley, lob, and serve on courts from all over the world in 16 tournaments. The game features 32 unique players with realistic movements, various court surfaces, and three challenging game modes including Quick Match, Arcade, and Tournament. Can you win your way to the top ranks of tennis stardom?",https://www.pricecharting.com/game/gameboy-advance/agassi-tennis-generation
gameboy-advance,Aggravation / Sorry /  Scrabble Jr,8/1/2005,Everyone,DSI Games,Gravity-I,Party,8.02068E+11,1972,"Sorry!
Sorry!, the classic game of slide and pursuit, has been supercharged for Game Boy Advance! Be the first player to move all four of your pawns around the game board from Start to Home.
Aggravation
Be the first player to move all four of your colored marbles around the game board from Base to Home. You don't have to 'Aggravate' the other players to win, but it sure helps! Aggravation can be played by 1 to 6 players.
Scrabble Junior
Get ready for your very own Game Boy Advance version of the famous crossword game! Cover the game board letters with matching letter tiles, and score points by completing words.",https://www.pricecharting.com/game/gameboy-advance/aggravation-sorry-scrabble-jr
gameboy-advance,Aggressive Inline,8/27/2002,Everyone,Acclaim,Unkown,Extreme Sports,021481522935,1973,"In Aggressive Inline the player takes the role of one of nine real-life skaters with one specific goal: receiving as much points as possible by performing spectacular stunts. Every of the 13 courses also has various special challenges, e.g. collecting or smashing certain items, which need to be performed to beat it. In contrast to the open areas of the console versions this one features more linear levels and tight time limits.",https://www.pricecharting.com/game/gameboy-advance/aggressive-inline
