Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
nintendo-3ds,50 Classic Games,3/27/2012,Everyone,Maximum Games,Unkown,Strategy,8.1429E+11,32693,"Whether you want to play a quick, challenging game or a white-knuckle adventure, hours of fun and entertainment await you. There's something for everyone in this collection of classic games including Chess, Mahjongg, Sudoku, Backgammon, Texas Hold Em Poker, Solitaire and more.",https://www.pricecharting.com/game/nintendo-3ds/50-classic-games
nintendo-3ds,7th Dragon III Code VFD,7/12/2016,Teen,Sega,Unkown,RPG,010086611212,36722,"In the year 2100, dragons have descended upon earth and humanity is at the mercy of these terrifying beasts. However, not all is lost. As the protagonist, the player will team up with Nodens Enterprises-a video game company dedicated to stopping the dragon menace-to become a dragon hunter and eventual savior of the universe. Although times are bleak, Nodens Enterprises has found a way to tip the scales in favor of mankind: By traveling through time to three different eras, the protagonist can upset the balance of the dragons' power. This will give them the edge to defeat the True Dragons, and stand a chance against the most powerful one of them all... the 7th Dragon: VFD.",https://www.pricecharting.com/game/nintendo-3ds/7th-dragon-iii-code-vfd
nintendo-3ds,7th Dragon III Code VFD Launch Edition,7/12/2016,Teen,Sega,Unkown,RPG,Unkown,37776,"The apocalypse is heralded by the appearance of seven dragons. One after another, they have invaded earth and are beginning to ravage the human race. Once the seventh appears, there's no hope for mankindÖ unless you turn back time in 7th Dragon Code: VFD. Fight dragons and experience the long-awaited series making its way out of Japan for the first time! Travel through three different eras with your team of dragon hunters and get ready for some turn-based, dungeon-crawling RPG action! Build your team and fight for your life! With eight classes, many voice options, and numerous appearance variations, customizing your team has never been easier. When your team needs a break between dungeons, make time for side quests, base building, dating, and a cat cafÈ. Do you have what it takes to take down the True Dragons?",https://www.pricecharting.com/game/nintendo-3ds/7th-dragon-iii-code-vfd-launch-edition
nintendo-3ds,Ace Combat Assault Horizon Legacy,11/15/2011,Teen,Namco,Unkown,Simulation,7.22675E+11,32250,"Ace Combat Assault Horizon Legacy soars to the Nintendo 3DS platform with an intense 3D experience that delivers supersonic flying, exciting dogfights and high-altitude acrobatics. With touch screen targeting and added control mechanics, players take full command of every intense skirmish to enable split-second counter-maneuvers, dynamic dogfight action and satisfying enemy takedowns. Fans of the series can look forward to a wide variety of real-world aircrafts to pilot, and a diverse range of missions to take on.",https://www.pricecharting.com/game/nintendo-3ds/ace-combat-assault-horizon-legacy
nintendo-3ds,Ace Combat: Assault Horizon Legacy Plus,2/10/2015,Teen,Namco Bandai,Unkown,Other,7.22675E+11,35549,"Control the skies with complete freedom in 3D The critically acclaimed aerial combat series flies onto the Nintendo 3DS! ACE COMBAT Assault Horizon Legacy + delivers supersonic flying, exciting dogfights and high-altitude acrobatics all in enhanced 3D!",https://www.pricecharting.com/game/nintendo-3ds/ace-combat-assault-horizon-legacy-plus
nintendo-3ds,Adventure Time: Explore the Dungeon Because I Don't Know,11/19/2013,Everyone 10+,D3 Publisher,WayForward Technologies,Action & Adventure,8.79278E+11,34583,"Princess Bubblegum summons Finn and Jake to the Candy Kingdom to investigate a rash of thefts and kidnappings that have plagued her kingdom. She thinks the cause lies within her Secret Royal Dungeon, where only the nastiest monsters and criminals are locked up. If they've found a way to escape, the Land of Ooo will be in danger!",https://www.pricecharting.com/game/nintendo-3ds/adventure-time-explore-the-dungeon-because-i-don%27t-know
nintendo-3ds,Adventure Time: Finn and Jake Investigations,10/20/2015,Everyone 10+,Little Orbit,Vicious Cycle Software,Action & Adventure,8.15403E+11,36134,"Adventure Time: Finn and Jake Investigations is an all-new, real-time, fully 3D action-oriented twist on the classic story-driven graphic adventure game. At the start of the game, Finn and Jake decide to carry on the profession of their parents, who were Professional Investigators. Confronted with mysterious Land of Ooo disappearances and strange events, players will interview colorful Ooo inhabitants, dispatch evil doers in fast-paced combat, solve mind-bending puzzles, explore secret and familiar locations, and genuinely feel as if they have stepped into their own personal episode of Adventure Time.",https://www.pricecharting.com/game/nintendo-3ds/adventure-time-finn-and-jake-investigations
nintendo-3ds,Adventure Time: Hey Ice King,11/20/2012,Everyone 10+,D3 Publisher,WayForward Technologies,Action & Adventure,8.79278E+11,33368,"Adventure Time: Hey Ice King! Why'd you steal our garbage?! is the first video game based on the radical, Emmy nominated Cartoon Network show about two close friends - Jake, a wise old dog with a big kind heart, and Finn, a silly kid who wants more than anything else to become a great hero. Players will explore the Land of Ooo and set out on heroic quests, as their favorite characters Finn and Jake, in a unique action adventure experience. Adventure Time show creator Pendleton Ward is also heavily involved with the game creation, including the design of a brand new storyline, concept, and quests.",https://www.pricecharting.com/game/nintendo-3ds/adventure-time-hey-ice-king
nintendo-3ds,Adventure Time: Hey Ice King Collector's Edition,11/20/2012,Everyone 10+,D3 Publisher,WayForward Technologies,Action & Adventure,8.79278E+11,33919,"Adventure Time: Hey Ice King! Why'd you steal our garbage?! is the first video game based on the radical, Emmy nominated Cartoon Network show about two close friends - Jake, a wise old dog with a big kind heart, and Finn, a silly kid who wants more than anything else to become a great hero. Players will explore the Land of Ooo and set out on heroic quests, as their favorite characters Finn and Jake, in a unique action adventure experience. Adventure Time show creator Pendleton Ward is also heavily involved with the game creation, including the design of a brand new storyline, concept, and quests.",https://www.pricecharting.com/game/nintendo-3ds/adventure-time-hey-ice-king-collector%27s-edition
nintendo-3ds,Adventure Time: The Secret of the Nameless Kingdom,11/17/2014,Everyone 10+,Little Orbit,WayForward Technologies,Action & Adventure,8.15403E+11,35328," Oh my glob! All three princesses of the Nameless Kingdom have disappeared! Finn (the human) and his best bro Jake (the shape-shifting dog) embark on an original heroic adventure created exclusively for the video game. Players journey through the Nameless Kingdom, an unexplored realm in the Land of Ooo, to rescue princesses and choose the one princess who commands the Nameless inhabitants. After all, every kingdom needs a princess who rules. ",https://www.pricecharting.com/game/nintendo-3ds/adventure-time-the-secret-of-the-nameless-kingdom
