Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
nintendo-64,007 GoldenEye,8/25/1997,Teen,Nintendo,Rare,FPS,045496870072,3780,"You are Bond, James Bond. You are assigned to covert operations connected with GoldenEye weapons satellite. M will brief you on your mission and objectives from London. Q Branch will support your efforts with a plentiful supply of weapons and gadgets. Moneypenny offers you light-hearted best wishes and you're off! Your mission begins in the heavily guarded chemical warfare facility at the Byelomorye Dam in the USSR. Look and shoot in any direction as you navigate 12 interactive 3-D environments. Use stealth and force as you see fit in matters of international security. Consider the military personnel expendable. You are licensed to kill!",https://www.pricecharting.com/game/nintendo-64/007-goldeneye
nintendo-64,007 World Is Not Enough,10/17/2000,Teen,Electronic Arts,Eurocom,FPS,014633141849,3966,"007: The World Is Not Enough was released in 2000 as a video game adaption of the same-titled movie and successor to GoldenEye 007. The storyline generally follows the movie plot, whereas James Bond has to protect Elektra King from a terrorist called Renard; but as it surprisingly turns out that King is working together with Renard to blow up Istanbul with a nuclear submarine in order to take over the World's oil market, Bond teams up with Dr. Christmas Jones to stop their plans. The N64 version features 14 Levels in the Single-Player campaign as well as Multiplayer Modes with 4-Player Support & additional AI bots.",https://www.pricecharting.com/game/nintendo-64/007-world-is-not-enough
nintendo-64,1080 Snowboarding,3/31/1998,Everyone,Nintendo,Nintendo,Extreme Sports,045496870249,3674,"You're taking a Tahoe 155 snowboard down a steep, bumpy incline at night and you're about to top off an Indy Nosebone with a 360 Air, and you haven't even left your living room! You're playing 1080 (Ten Eighty) Snowboarding, a game so intense you'll be brushing the snow off your goggles. With five different boarders, eight different Lamar snowboards, more than 25 tricks, a Half-Pipe and six different courses, this is as close as you'll get to the real thing without hopping on the next ski lift.
*Six game modes and courses!
*2-Player simultaneous play!
*Over 25 different tricks!
*Compatible with Rumble Pak accessory.",https://www.pricecharting.com/game/nintendo-64/1080-snowboarding
nintendo-64,A Bug's Life,4/30/1999,Everyone,THQ,Traveller's Tales,Platformer,047875107496,3717,"Are you bug enough? As hopeful hero Flik, you’re the colony’s last chance against the seed-grubbing grasshoppers. Run, fly, kick, squish, and slide through 15 challenging levels of 3-D animated gameplay. Outmaneuver 13 types of enemies, including The Bird and her deadly beak. Then, throw your weight around with tough antics like the Berry Attack and the Butt-bounce. Because on this ride, you’ll need more than just high hopes. *Search for power-ups, tokens and objects to use in the “Living World” *Get a bug’s-eye-view of a magical 3-D world. *Swing, fly, slide and navigate Flik through immense bug-infested levels.",https://www.pricecharting.com/game/nintendo-64/a-bug%27s-life
nintendo-64,Aero Gauge,4/30/1998,Everyone,ASCII Entertainment,Locomotive Games,Racing,093992045005,14427,"Blaze through the skies as you take control of your very own Aeromachines in this new futuristic racing game, Aero Gauge. With courses that have sharp turns, and even sharper obstacles, it is going to take a keen eye and ultimate control to maneuver through courses featuring canyons, tunnels, oceans, and mountains. Imagine speeds reaching over 1000 mph as you whiz by the field in route to victory in these graphically advanced landscapes. Never has a game incorporated such remarkable control, detailed graphics and mind-tingling speeds as…Aero Gauge!
-	Speeds reaching over 1000 mph
-	Vertical and horizontal vehicle maneuvering capabilities
-	Beautifully rendered 64-bit graphics
-	Choose from 5 distinct Aeromachines with 5 hidden vehicles to find
-	4 full-fledged Aero courses with 2 bonus tracks
-	4 different modes: Grandprix, Single Match, Time Attack, VS.
-	Multiple race view angles",https://www.pricecharting.com/game/nintendo-64/aero-gauge
nintendo-64,Aerofighters Assault,10/30/1997,Everyone,Video System,Paradigm Entertainment,Simulation,034912640023,3675,"The AeroFighters Assault team needs your help to save the Earth from the evil Phutta Morgana and their machines of doom. Join the battle in the only game that matters!
-	360 Degrees of total air assault action!
-	Multiple missions around the globe pit you against a variety of enemy aircraft and boss characters.
-	Player selectable viewpoints include traditional external and in-aircraft views, plus our unique “combat view” that provides you with a better perspective of the dogfight situation.
-	Four different game modes including practice, main game, boss attack, and two-player death match.
-	Game progress stored in memory.",https://www.pricecharting.com/game/nintendo-64/aerofighters-assault
nintendo-64,Aidyn Chronicles,3/14/2001,Teen,THQ,H2O Entertainment,RPG,7.85138E+11,3676,"Young Alaron is on a quest to discover the truth about himself, his name, and his heritage. Traveling to far and distant lands, pursued by forces he cannot understand, danger lurks every corner. Alaron and his companions will seek to fulfill his destiny as the greatest mage ever known! *Beautiful 3D environments and highly-detailed characters *Party-based adventuring gameplay with thirteen different playable characters, up to four characters at one time *Huge World map with the freedom to explore areas in any order *Daytime cycle affects the performance of lunar-and solar- aspected characters",https://www.pricecharting.com/game/nintendo-64/aidyn-chronicles
nintendo-64,All-Star Baseball 2000,3/31/1999,Everyone,Acclaim,Iguana Entertainment,Baseball,021481641759,3677,"Second generation Hi Rez graphics and 3-D sports engine. All new player models feature sunglasses, high socks, alternate jerseys. 400 all-new animations like over the shoulder catches and the double play pivot. Over 100 unique player batting stances and real-life faces. Adjustable 3-D icon for total batting control.
*All-new Instant Replay.
*Pitchers scouted by Yankees shortstop Derek Jeter.
*Variable Pitch Speed
*The Yankees John Sterling and Michael Kay call the action.
*All 30 Major League teams, players and stadiums.",https://www.pricecharting.com/game/nintendo-64/all-star-baseball-2000
nintendo-64,All-Star Baseball 2001,3/31/2000,Everyone,Acclaim,High Voltage Software,Baseball,021481642022,3678,"First ever Hall of Fame team including Nolan Ryan and Reggie Jackson. Over 700 Major League Baseball players and 30 stadiums including 5 new ballparks. All-new Batting practice mode lets you hone your skills. Faster gameplay with Easy Batting/ Pitching options. Hook slides, swipe tags, and home plate collisions. Fist-pumping player celebrations!
*Full roster management includes: multi-player trades; create, sign and release players.
*The Yankees’ John Sterling and Michael Kay call the action.
*Team stats in over 300 categories by STATS Inc. 
*Over 100 authentic batting stances and home run swings.",https://www.pricecharting.com/game/nintendo-64/all-star-baseball-2001
nintendo-64,All-Star Baseball 99,4/27/1998,Everyone,Acclaim,Iguana Entertainment,Baseball,021481641445,3679,"All-Star Baseball is a baseball video game series developed by Iguana Entertainment and published by Acclaim Entertainment. The series began in 1998 with the release of All-Star Baseball '99. All 30 Major League Baseball teams feature in the first All-Star Baseball title. Game modes include Training, Season, Playoff, World Series, plus an All-Star Match, Home Run Derby and MLB trivia. 100 different batting styles are featured, as well as motions such as sliding catches, base collisions, kneeling throws and broken bats. It's also possible to sign up and trade players from all around the league and creating your own team from the entire 700-player roster. And if a player fitting your demands doesn't exist, you can use the Create a Player mode for further versatility.",https://www.pricecharting.com/game/nintendo-64/all-star-baseball-99
nintendo-64,All-Star Tennis 99,8/31/1999,Everyone,Ubisoft,Smart Dog,Sports,008888130024,3680,"All the power, speed and intensity of professional tennis! Compete against professional tennis' top talent: Michael Chang, Mark Philippoussis, Amanda Coetzer, Richard Krajicek, Conchita Martinez, Jonas Bjorkman, Gustavo Kuerten and '98 Wimbledon Champion Jana Novotna. Realistic courts and characters bring tennis to life. Smash overhead shots, crush 140mph serves and dive for cross-court volleys. Up to four players can go head-to-head simultaneously! Multiplayer options in singles, doubles and tournament play!",https://www.pricecharting.com/game/nintendo-64/all-star-tennis-99
nintendo-64,Armorines Project SWARM,12/9/1999,Teen,Acclaim,Acclaim Studios London,FPS,021481641889,3681,"Human Domination or Bug Infestation?
The choice is yours.
You’re an Amorine. You’re wearing the latest in futuristic battle-armor. Armed with a devastating arsenal, you’re got 120 hours to stop an all-out bug invasion of Earth. Or Die trying.
 *United We Stand! – Mission-based cooperative play lets you fight with a friend against swarms of rampaging bugs.
*Walk the Path of Glory! – Prove you’re the best in 2-4 player Deathmatches! Co-op! Man vs. Bug! King of the Hill!
*Exterminate! – Blaze away with weapon-loaded body armor – or from vehicles!
*Know Your Enemy! – Over 30 incredibly realistic monstrous insect enemies, each possessing diabolical AI.",https://www.pricecharting.com/game/nintendo-64/armorines-project-swarm
nintendo-64,Army Men Air Combat,7/18/2000,Teen,3DO,3DO,Simulation,7.90562E+11,3683,"Pilot one of four toy helicopters through the treacherous terrain of your backyard, the local playground, picnic areas and nearby beaches. Engage in both air-to-air and air-to-ground combat with enemies ranging from battleships to butterflies. Utilize the unique abilities of each 'copter to battle armies of mutant insects; destroy rampaging remote control cars; blow up sand castles; and save Sarge from being melted by kids with magnifying glasses. Real combat. Plastic men.",https://www.pricecharting.com/game/nintendo-64/army-men-air-combat
nintendo-64,Army Men Sarge's Heroes,9/28/1999,Teen,3DO,3DO,Third Person Shooter,7.90562E+11,3684,"Confidential. 0600 hours: Tan forces captured Bravo Company Commandos. General Plastro has new weapons of mass destruction: magnifying glass, M-80 firecrackers and the garbage disposal. This is a job for Sarge. Requisition M-60s, shotguns, bazookas, flame throwers, grenades, sniper rifles, mortars, mine sweepers and plenty of ammo. Good luck, soldier.",https://www.pricecharting.com/game/nintendo-64/army-men-sarge%27s-heroes
nintendo-64,Army Men Sarge's Heroes 2,9/27/2000,Teen,3DO,3DO,Third Person Shooter,7.90562E+11,3682,"The boys are back and ready to do battle! Sarge and the Bravo Company Commandoes managed to foil the Tan Army’s first assault, but do they have what it takes this time?
General Plastro has teamed up with Brigitte Bleu, a diabolically treacherous Blue Spy, to destroy the Green Nation once and for all. The adventure continues as Sarge and Vikki fight their way over pool tables, under beds, and across desktops to the final showdown against Plastro and his troops. Prepare for another gigantic battle! It’s Real Combat. Plastic Men.
*Missions include a refrigerator, pinball machine and a toy store showdown!
*New worlds, new weapons and new characters!
*Interactive environments and incredible detail bring “their world” into “our world!”",https://www.pricecharting.com/game/nintendo-64/army-men-sarge%27s-heroes-2
nintendo-64,Asteroids Hyper 64,12/14/1999,Everyone,Crave,Syrox Developments,Shoot'em Up,6.50008E+11,3685,"*Dozens of Power-ups, Wild Card weapons ad Impact Shields. *More than 90 amazing levels in 6 zones. *Exciting multi-player modes including co-op and death match. *Incredible graphics in 640 x 480 mode",https://www.pricecharting.com/game/nintendo-64/asteroids-hyper-64
nintendo-64,Automobili Lamborghini,11/30/1997,Kids to Adults,Titus Software,Titus Software,Racing,091493143442,3695,"Are you ready for the ride of your life? This car circuit racing game will have you driving the car of your dreams: a Lamborghini Diablo! Trade in your econo-car and burn up the fast lane!
You’ll have your choice of four different race styles; six challenging racetracks; and other options such as pit stops and multiplayer split screen mode.
*Race styles: Arcade, Tournament, Championship and Time Trial!
*Feel every bump and crash with the Nintendo Rumble Pak!
*Save your record times onto a controller pak!
*Best playability a racing fan can dream of!",https://www.pricecharting.com/game/nintendo-64/automobili-lamborghini
