Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
super-nintendo,3 Ninjas Kick Back,11/1/1994,Everyone,Sony Imagesoft,Malibu Interactive,Beat'em Up,7.35009E+11,6828,"You first saw Rocky, Colt and Tum Tum on the silver screen when their martial arts skills and extreme exploits saved the honor of Grandfather Mori and defeated an evil arms dealer. Now, itâ€™s up to you! In this action-packed adventure, you become any one of the 3 Ninjas. And thatâ€™s when the fun begins. Wild animals and even wilder ninjas attack! A trio of spaced-out heavy metal rockers join forces with the evil Koga in an all-out effort to do you dirty. But of you rescue Grandfather Mori and his ceremonial dagger, youâ€™ll have the last laughâ€¦and unlock a secret room filled with more gold than Fort Knox!",https://www.pricecharting.com/game/super-nintendo/3-ninjas-kick-back
super-nintendo,AAAHH Real Monsters,11/1/1995,Kids to Adults,Viacom,Realtime Associates,Platformer,040824212036,7258,"Greetings, terror-trainees! Ickis, Krumm, and Oblina will have to prove themselves on the Monster midterm exams if they want to call themselves real monsters! They must work together as a team to receive a single gruesome grade on their frightful performance. So...go out and petrify someone!",https://www.pricecharting.com/game/super-nintendo/aaahh-real-monsters
super-nintendo,ABC Monday Night Football,12/1/1993,Everyone,Data East,Data East,Football,013250011054,13002,"ABC's Monday Night Football gives you football action like you've never seen before! This is the only game that takes you from the bright lights of the announcer's booth to the gut-wrenching action on the field. You are the Quarterback - check off your receivers and find the open man. Now you're the wide receiver - catch the winning touchdown as the crowd goes wild! You'll feel the hits, hear the grunts and experience football as only the best players can. You are the action! You set the formations and you call the plays! This is the game you've been waiting for!",https://www.pricecharting.com/game/super-nintendo/abc-monday-night-football
super-nintendo,ACME Animation Factory,11/1/1994,Everyone,Sunsoft,Probe Software,Educational,020763110426,13003,"In ACME Animation Factory, the player is given a series of tools to create his or her own cartoons, using the most famous characters of Looney Tunes, including graphics, animation and music. When the cartoon has been created, it can be saved and later replayed.",https://www.pricecharting.com/game/super-nintendo/acme-animation-factory
super-nintendo,ActRaiser,11/1/1991,Everyone,Enix,Quintet,Action & Adventure,7.19631E+11,6830,"Restore peace and order to your people's world! Long ago, you and your people built a peaceful land. Since then, your world has been taken over and inhabited by the evil Tanzra and his Guardians. Your once-tranquil land has become a breeding ground for monsters. Injured, you have retreated to your Sky Palace and have fallen into a deep sleep.",https://www.pricecharting.com/game/super-nintendo/actraiser
super-nintendo,ActRaiser 2,11/1/1993,Everyone,Enix,Quintet,Platformer,7.19631E+11,6831,"Gameplay for ActRaiser 2 consists primarily with side-scrolling platform action, similar to the Professional!/Action mode from the original game. The player, assuming the role of the Master (still referred to as God in the Japanese version), controls a floating palace to inspect the people of the world below. After hearing their plight the Master descends to the world below to fight the monsters and rid the land of evil. Like the original, each area contains two acts; the first act of an area consists of monsters spawned from a lesser demon named after an unfavorable condition, while the second act consists of monsters spawned from the primary evil, named after one of the seven deadly sins, with heightened challenge and peril.",https://www.pricecharting.com/game/super-nintendo/actraiser-2
super-nintendo,Addams Family Pugsley's Scavenger Hunt,2/1/1993,Everyone,Ocean,Ocean,Platformer,020295030094,6832,"Darling little Pugsley has lost his family to kidnappers who have hidden them as prisoners in their own spooky home. Only lovable little Pugsley can rescue them by hunting for delightfully strange items located in secret spots in their weird mansion. What oddities and atrocities await him! There are twisted creatures and complex features at every turn of the task.
If precious little Pugsley is able, he'll find and rescue Gomez, Granny, Wednesday and Uncle Fester and see them to the music room. Each one holds a piece of the unnaturally lovely music which Lurch must play to unlock the secret passage leading to Morticia.
Pugsley's only helper is the charmingly bizarre Thing, who brings him startling messages to help him along.
So get ready to get spooky and get set to get kooky... it's Pugsley's Scavenger Hunt!",https://www.pricecharting.com/game/super-nintendo/addams-family-pugsley%27s-scavenger-hunt
super-nintendo,Addams Family Values,2/1/1995,Kids to Adults,Ocean,Ocean,Action & Adventure,020295030155,6833,"Baby Pubert, the most recent addition to the Addams Family, has been abducted by Debbie Jellinski, his former nanny. As Uncle Fester it is your job to rescue little Pubert. You must search the surrounding areas (forests, swamps, gardens and the like) of Addams mansion, while avoiding traps, solving puzzles and killing monsters. You'll face such hellish creatures as vultures, gargoyles, bats, ghosts and ghouls.",https://www.pricecharting.com/game/super-nintendo/addams-family-values
super-nintendo,Advanced Dungeons & Dragons Eye of the Beholder,3/1/1994,Everyone,Capcom,Strategic Simulations,RPG,013388130146,7316,"Darkness has engulfed the town of Waterdeep and legend has it that the criminal conspiracy behind it is hiding in the sewers. The locks and the traps in the twisting labyrinth beneath Waterdeep are too good and Skeletons and Kolbolds lurk around every corner. Who could be at the heart of this evil? And can anyone survive to find out?
In Eye of the Beholder, you take control of a band of four adventurers as they seek to unravel the mysteries beneath Waterdeep. Using an easy to use Point and Click interface and 3-D point of view, you become part of the action as you do battle with Mind Flayers and Mantis Warriors who seek to put an end to your mission to purge Waterdeep of the evil.",https://www.pricecharting.com/game/super-nintendo/advanced-dungeons-&-dragons-eye-of-the-beholder
super-nintendo,Adventures of Batman and Robin,12/1/1994,Everyone,Konami,Konami,Action & Adventure,083717150152,7261,"There are games and there are cartoons. Now there is The Adventures of Batman and Robin. What's the difference? you ask. Precisely, Batman battles through the eight toughest levels of villainy to hit your TV screen. You'll be dazzled by the animation-style graphics. You'll be awed by great sound and a stirring musical score. You'll swear you were watching the hit animated series except for one tiny detail. YOU CONTROL THE ACTION! Using a combination of brains and brawn, you decide the fate of Gotham City as you strategically lead Batman on his mission to eradicate violence and mayhem. Operating out of the top secret Batcave, you'll use smoke bombs, Batarangs, x-ray goggles and all the weapons your utility belt can hold as you swing across rooftops and dash through dark alleys, tracking down the elusive Catwoman. You'll try to put a stop to Two-Face as you race through the streets in the Batmobile. You'll enlist the aid of Robin to put The Penguin out of business. You can't relax though, because Scarecrow, The Joker, Poison Ivy, Clayface and their motley crews will crush you and take control of Gotham City!",https://www.pricecharting.com/game/super-nintendo/adventures-of-batman-and-robin
